run_id,team_count,round_count,market_scenario,team_name,archetype,strategy_key,strategy_label,profit_rank,balanced_rank,balanced_score,profit,revenue,total_cost,sales_units,fill_rate,forecast_wape,ending_cash_balance,short_term_debt_balance,cash_minus_debt,liquidity_stress_flag,reputation_after_round,lost_sales_units,backlog_units_end,ending_inventory
1,4,4,batch_001,Team 01,Premium Quality,premium_quality,Premium quality,1,1,60.0,12565.32,34192.8,21627.48,182,0.4194,0.5714,78310.88,0.0,78310.88,False,1.06,237,14,0
1,4,4,batch_001,Team 03,Engineering Challenger,balanced_sop,Balanced S&OP,2,3,53.3,10825.29,32617.0,21791.71,198,0.4276,0.5445,77298.76,4000.0,73298.76,False,0.0,240,24,0
1,4,4,batch_001,Team 02,Sponsorship Growth,low_cost_volume,Low-cost volume,3,2,53.3,5378.73,45494.24,40115.51,369,0.5037,0.3611,38845.18,14000.0,24845.18,False,0.0,279,83,0
1,4,4,batch_001,Team 04,Low-Cost Volume,innovation_leap,Innovation leap,4,4,25.3,735.76,33976.95,33241.19,323,0.4944,0.4412,64820.3,28000.0,36820.3,True,0.0,301,28,0
2,6,4,batch_002,Team 05,Community / Club,cash_conservative,Cash conservative,1,2,68.0,9987.78,26589.36,16601.58,210,0.7018,0.3002,57519.93,0.0,57519.93,False,41.41,76,12,9
2,6,4,batch_002,Team 01,Premium Quality,premium_quality,Premium quality,2,1,68.0,7460.83,33518.88,26058.05,178,0.7903,0.1727,52683.67,0.0,52683.67,False,71.22,32,14,50
2,6,4,batch_002,Team 03,Engineering Challenger,balanced_sop,Balanced S&OP,3,3,56.0,5993.88,32319.0,26325.12,196,0.8318,0.1087,52101.33,4000.0,48101.33,True,67.63,15,24,51
2,6,4,batch_002,Team 06,Premium Quality,aggressive_growth,Aggressive growth,4,4,48.0,-1733.55,37248.0,38981.55,219,0.9928,0.2603,49205.92,40000.0,9205.919999999998,True,83.55,0,0,153
2,6,4,batch_002,Team 04,Low-Cost Volume,innovation_leap,Innovation leap,5,5,16.0,-2077.32,37298.52,39375.84,261,0.8654,0.3193,12779.53,28000.0,-15220.47,True,40.55,5,34,171
2,6,4,batch_002,Team 02,Sponsorship Growth,low_cost_volume,Low-cost volume,6,6,12.0,-10669.74,37646.4,48316.14,299,0.9236,0.3892,0.0,14841.88,-14841.88,True,29.74,0,23,119
3,8,4,batch_003,Team 07,Sponsorship Growth,premium_quality,Premium quality,1,1,82.9,15199.1,46809.36,31610.26,313,0.8339,0.1968,73828.07,0.0,73828.07,False,60.57,38,23,26
3,8,4,batch_003,Team 01,Premium Quality,premium_quality,Premium quality,2,2,71.4,13960.03,36551.52,22591.49,196,0.7938,0.2272,74249.8,0.0,74249.8,False,69.23,36,14,1
3,8,4,batch_003,Team 03,Engineering Challenger,balanced_sop,Balanced S&OP,3,3,65.7,10061.31,32617.0,22555.69,198,0.7637,0.1499,60974.62,4000.0,56974.62,False,49.56,36,24,0
3,8,4,batch_003,Team 05,Community / Club,cash_conservative,Cash conservative,4,6,37.1,8733.95,22996.92,14262.97,179,0.5503,0.3584,52546.65,0.0,52546.65,False,11.29,133,12,0
3,8,4,batch_003,Team 08,Engineering Challenger,low_cost_volume,Low-cost volume,5,4,49.1,7019.26,34957.12,27937.86,241,0.8703,0.179,31205.13,14000.0,17205.13,True,21.88,0,35,0
3,8,4,batch_003,Team 06,Premium Quality,aggressive_growth,Aggressive growth,6,5,37.7,3443.16,37445.76,34002.6,223,0.7994,0.1882,64606.48,40000.0,24606.480000000003,True,55.7,5,50,20
3,8,4,batch_003,Team 02,Sponsorship Growth,low_cost_volume,Low-cost volume,7,7,25.7,2561.3,43992.96,41431.66,353,0.9202,0.3806,6067.23,14000.0,-7932.77,False,0.0,0,29,15
3,8,4,batch_003,Team 04,Low-Cost Volume,innovation_leap,Innovation leap,8,8,6.3,1457.3,36836.31,35379.01,262,0.7803,0.3536,29832.37,28000.0,1832.369999999999,True,31.3,38,34,159
4,7,4,batch_004,Team 07,Sponsorship Growth,premium_quality,Premium quality,1,1,93.3,11959.01,43994.88,32035.87,294,0.7924,0.1869,74402.94,0.0,74402.94,False,54.22,53,23,7
4,7,4,batch_004,Team 01,Premium Quality,premium_quality,Premium quality,2,3,63.3,11233.26,34192.8,22959.54,182,0.7443,0.2192,72980.7,0.0,72980.7,False,60.36,48,14,0
4,7,4,batch_004,Team 03,Engineering Challenger,balanced_sop,Balanced S&OP,3,2,70.0,9672.23,32617.0,22944.77,198,0.7704,0.1417,59479.15,4000.0,55479.15,False,42.28,34,24,0
4,7,4,batch_004,Team 05,Community / Club,cash_conservative,Cash conservative,4,4,36.7,8461.39,22996.92,14535.53,179,0.5678,0.3372,51568.79,0.0,51568.79,False,4.13,123,12,0
4,7,4,batch_004,Team 04,Low-Cost Volume,innovation_leap,Innovation leap,5,7,15.3,8126.82,34764.35,26637.53,252,0.7576,0.4741,42481.72,28000.0,14481.720000000001,True,23.61,45,34,119
4,7,4,batch_004,Team 02,Sponsorship Growth,low_cost_volume,Low-cost volume,6,5,30.0,2046.9,44267.52,42220.62,356,0.9175,0.3605,5546.9,15345.05,-9798.15,False,0.0,0,31,12
4,7,4,batch_004,Team 06,Premium Quality,aggressive_growth,Aggressive growth,7,6,25.3,2014.53,36547.2,34532.67,217,0.7848,0.2009,62858.86,40000.0,22858.86,True,48.89,9,50,19
5,8,4,batch_005,Team 07,Sponsorship Growth,premium_quality,Premium quality,1,1,88.6,11825.47,42141.6,30316.13,278,0.8495,0.0974,77829.38,0.0,77829.38,False,62.82,24,23,43
5,8,4,batch_005,Team 01,Premium Quality,premium_quality,Premium quality,2,2,71.4,11403.24,33181.92,21778.68,176,0.8254,0.1377,75124.8,0.0,75124.8,False,69.91,22,14,17
5,8,4,batch_005,Team 03,Engineering Challenger,balanced_sop,Balanced S&OP,3,3,71.4,10776.79,32617.0,21840.21,198,0.8447,0.0573,77082.3,4000.0,73082.3,False,68.11,12,24,0
5,8,4,batch_005,Team 05,Community / Club,cash_conservative,Cash conservative,4,4,42.9,10093.75,23725.2,13631.45,186,0.6386,0.2872,70857.87,0.0,70857.87,False,28.34,92,12,8
5,8,4,batch_005,Team 04,Low-Cost Volume,innovation_leap,Innovation leap,5,7,14.9,8249.55,33513.59,25264.04,221,0.7925,0.5923,41700.96,28000.0,13700.96,True,26.66,22,34,176
5,8,4,batch_005,Team 08,Engineering Challenger,low_cost_volume,Low-cost volume,6,5,40.6,6701.58,33268.4,26566.82,230,0.9974,0.2595,56793.1,14000.0,42793.1,True,53.28,0,0,12
5,8,4,batch_005,Team 06,Premium Quality,aggressive_growth,Aggressive growth,7,6,29.1,2777.42,35685.12,32907.7,211,0.9976,0.3144,80754.77,40000.0,40754.770000000004,True,84.69,0,0,104
5,8,4,batch_005,Team 02,Sponsorship Growth,low_cost_volume,Low-cost volume,8,8,9.1,-2942.94,37081.44,40024.38,290,0.9735,0.4988,27442.14,14000.0,13442.14,True,20.64,0,6,118
6,10,4,batch_006,Team 05,Community / Club,cash_conservative,Cash conservative,1,2,77.8,5671.12,21191.52,15520.4,164,0.8046,0.2786,38087.15,0.0,38087.15,False,48.48,27,12,86
6,10,4,batch_006,Team 01,Premium Quality,premium_quality,Premium quality,2,1,80.0,2168.59,27125.28,24956.69,142,0.9911,0.2564,22247.14,0.0,22247.14,False,84.65,0,0,245
6,10,4,batch_006,Team 10,Community / Club,innovation_leap,Innovation leap,3,6,47.6,977.98,31306.8,30328.82,183,0.872,0.3467,25942.96,28000.0,-2057.040000000001,True,66.16,2,24,157
6,10,4,batch_006,Team 03,Engineering Challenger,balanced_sop,Balanced S&OP,4,5,49.8,-545.94,23976.0,24521.94,144,0.9908,0.3761,24571.89,4000.0,20571.89,True,74.31,0,0,190
6,10,4,batch_006,Team 08,Engineering Challenger,low_cost_volume,Low-cost volume,5,4,52.0,-764.18,28447.76,29211.94,193,0.9974,0.879,20265.15,14000.0,6265.1500000000015,True,59.67,0,0,48
6,10,4,batch_006,Team 07,Sponsorship Growth,premium_quality,Premium quality,6,3,64.4,-1481.22,33698.16,35179.38,219,0.9961,0.2872,6485.63,0.0,6485.63,False,74.49,0,0,414
