run_id,team_count,round_count,market_scenario,market_label,demand_multiplier,demand_growth_delta,premium_share_shift,mid_share_shift,beginner_share_shift,material_cost_index_delta,supply_risk,quality_sensitivity_delta,technology_shift_delta,market_generation_offset,beginner_price_pressure_delta,profit_winner,profit_winner_strategy,profit_winner_profit,balanced_winner,balanced_winner_strategy,balanced_winner_score,service_winner,forecast_winner,cash_winner,average_profit,liquidity_stress_team_count
1,4,4,batch_001,Batch market 001,1.7175,-0.0595,-0.0386,0.0985,0.0783,-0.0196,Moderate,0.2939,-0.0191,1,0.0287,Team 01,Premium quality,11110.02,Team 01,Premium quality,60.0,Team 02,Team 02,Team 01,6201.15,1
2,6,4,batch_002,Batch market 002,0.9934,0.0209,0.0434,0.0706,-0.0437,0.231,Moderate,0.12,0.3066,1,0.206,Team 05,Cash conservative,9371.78,Team 01,Premium quality,68.0,Team 06,Team 03,Team 05,407.03,4
3,8,4,batch_003,Batch market 003,1.4204,0.0254,0.0222,0.055,-0.0633,0.0378,High,-0.0336,-0.0392,1,-0.0417,Team 07,Premium quality,13613.8,Team 07,Premium quality,82.9,Team 02,Team 03,Team 01,6631.66,3
4,7,4,batch_004,Batch market 004,1.498,-0.0355,-0.0627,0.0185,0.0221,0.0612,High,0.0013,0.2398,0,-0.096,Team 07,Premium quality,10373.71,Team 07,Premium quality,93.3,Team 02,Team 03,Team 07,6457.09,3
5,8,4,batch_005,Batch market 005,1.6269,-0.067,-0.094,0.0765,-0.0749,-0.017,Moderate,0.2809,0.3158,0,0.1825,Team 07,Premium quality,10240.17,Team 07,Premium quality,88.6,Team 06,Team 03,Team 07,6190.01,4
6,10,4,batch_006,Batch market 006,1.0151,0.0742,0.0635,-0.0544,0.0069,0.1021,High,-0.0183,0.028,1,0.3011,Team 05,Cash conservative,5055.12,Team 01,Premium quality,77.8,Team 07,Team 01,Team 05,-4791.46,8
7,5,4,batch_007,Batch market 007,1.105,0.0945,-0.0571,-0.0877,0.1051,0.1342,High,-0.0143,-0.0295,1,-0.0125,Team 01,Premium quality,8576.54,Team 01,Premium quality,70.0,Team 02,Team 02,Team 01,4468.69,2
8,4,4,batch_008,Batch market 008,1.3353,0.0819,-0.0485,-0.0146,0.053,0.107,Moderate,-0.0477,0.2892,0,-0.0538,Team 01,Premium quality,9020.85,Team 01,Premium quality,60.0,Team 02,Team 02,Team 01,5655.91,1
9,4,4,batch_009,Batch market 009,0.6725,-0.024,-0.1047,-0.0114,0.0305,0.0703,High,0.1693,0.0928,-1,0.2463,Team 01,Premium quality,8516.77,Team 01,Premium quality,80.0,Team 02,Team 03,Team 01,5138.2,2
10,5,4,batch_010,Batch market 010,1.4569,0.0641,0.1286,-0.0553,0.0762,0.0008,High,0.1637,0.3319,0,0.2633,Team 01,Premium quality,10763.23,Team 01,Premium quality,70.0,Team 02,Team 02,Team 01,8390.18,1
11,6,4,batch_011,Batch market 011,1.5623,0.0324,-0.0043,-0.0023,-0.1044,0.2213,Moderate,-0.1028,0.1704,-1,0.1289,Team 01,Premium quality,7144.15,Team 01,Premium quality,68.0,Team 04,Team 02,Team 01,3581.81,2
12,6,4,batch_012,Batch market 012,0.9371,-0.0286,0.1337,0.0359,-0.0914,0.0634,High,-0.0085,0.022,0,-0.0294,Team 01,Premium quality,7706.45,Team 01,Premium quality,80.0,Team 02,Team 03,Team 01,3214.54,3
