run_id,team_count,round_count,strategy_offset,archetype_offset,market_scenario,team_name,archetype,strategy_key,strategy_label,profit_rank,balanced_rank,balanced_score,profit,revenue,total_cost,sales_units,fill_rate,forecast_wape,ending_cash_balance,short_term_debt_balance,cash_minus_debt,liquidity_stress_flag,reputation_after_round,lost_sales_units,backlog_units_end,ending_inventory
1,4,4,2,1,batch_001,Team 01,Sponsorship Growth,balanced_sop,Balanced S&OP,1,1,86.7,10007.83,42984.0,32976.17,307,0.4745,0.4827,77303.94,4000.0,73303.94,False,0.87,300,38,0
1,4,4,2,1,batch_001,Team 03,Low-Cost Volume,cash_conservative,Cash conservative,2,2,60.0,7265.74,25643.82,18378.08,251,0.449,0.4621,69061.0,0.0,69061.0,False,0.0,290,17,0
1,4,4,2,1,batch_001,Team 02,Engineering Challenger,innovation_leap,Innovation leap,3,4,12.0,3120.51,30088.8,26968.29,174,0.4242,0.5411,70597.67,28000.0,42597.67,True,0.0,217,18,0
1,4,4,2,1,batch_001,Team 04,Community / Club,aggressive_growth,Aggressive growth,4,3,25.3,1111.59,37238.4,36126.81,308,0.4718,0.3611,72265.94,40000.0,32265.940000000002,True,0.0,277,67,0
2,10,4,2,0,batch_002,Team 05,Community / Club,premium_quality,Premium quality,1,1,78.7,2784.98,30277.58,27492.6,149,0.9929,0.5994,2784.98,5087.32,-2302.3399999999997,True,74.62,0,0,269
2,10,4,2,0,batch_002,Team 03,Engineering Challenger,cash_conservative,Cash conservative,2,2,75.6,-208.69,17286.96,17495.65,102,0.9854,0.4588,22297.56,0.0,22297.56,False,76.48,0,0,286
2,10,4,2,0,batch_002,Team 09,Low-Cost Volume,cash_conservative,Cash conservative,3,3,65.3,-9608.17,14383.02,23991.19,137,0.996,1.1156,0.0,15162.67,-15162.67,True,42.39,0,0,672
2,10,4,2,0,batch_002,Team 01,Premium Quality,balanced_sop,Balanced S&OP,4,4,58.7,-10322.59,18002.0,28324.59,102,0.9944,0.9499,0.0,17016.71,-17016.71,True,82.65,0,0,430
2,10,4,2,0,batch_002,Team 08,Engineering Challenger,innovation_leap,Innovation leap,5,5,45.3,-12897.23,17638.95,30536.18,101,0.9858,0.757,1629.01,28000.0,-26370.99,True,73.62,0,0,336
2,10,4,2,0,batch_002,Team 06,Premium Quality,low_cost_volume,Low-cost volume,6,6,38.7,-17294.49,16082.88,33377.37,104,0.9945,1.5148,0.0,29409.17,-29409.17,True,81.25,0,0,372
2,10,4,2,0,batch_002,Team 02,Sponsorship Growth,innovation_leap,Innovation leap,7,7,29.8,-18065.36,23257.5,41322.86,156,0.9921,0.7997,0.0,46517.46,-46517.46,True,70.98,0,0,552
2,10,4,2,0,batch_002,Team 07,Sponsorship Growth,balanced_sop,Balanced S&OP,8,8,29.8,-18278.88,22014.0,40292.88,155,0.994,1.02,0.0,44202.01,-44202.01,True,69.37,0,0,696
2,10,4,2,0,batch_002,Team 10,Community / Club,aggressive_growth,Aggressive growth,9,9,12.0,-24409.52,18508.8,42918.32,149,0.9923,1.4842,0.0,70732.83,-70732.83,True,67.03,0,0,708
