round_number,team_name,product_id,slot_name,product_name,forecast_units,actual_demand_units,actual_sales_units,forecast_error_units,absolute_error_units,forecast_bias_pct,mape_or_wape_value,run_id,team_count,market_scenario,market_label
1,Team 01,team_01_A,A,Momentum Edge,120,125.88,116,5.88,5.88,0.049,0.0467,1,6,batch_001,Batch market 001
1,Team 01,team_01_B,B,Rise Power,85,135.54,83,50.54,50.54,0.5946,0.3729,1,6,batch_001,Batch market 001
1,Team 01,team_01_C,C,Court Wave,110,135.92,107,25.92,25.92,0.2357,0.1907,1,6,batch_001,Batch market 001
1,Team 02,team_02_A,A,Vector X,81,141.28,78,60.28,60.28,0.7441,0.4267,1,6,batch_001,Batch market 001
1,Team 02,team_02_B,B,Axis Control,99,122.46,96,23.46,23.46,0.237,0.1916,1,6,batch_001,Batch market 001
1,Team 02,team_02_C,C,Baseline Drive,0,0.0,0,0.0,0.0,0.0,0.0,1,6,batch_001,Batch market 001
1,Team 03,team_03_A,A,Starter Pop,121,142.28,124,21.28,21.28,0.1758,0.1495,1,6,batch_001,Batch market 001
1,Team 03,team_03_B,B,Club Value,106,91.86,91,-14.14,14.14,-0.1334,0.1539,1,6,batch_001,Batch market 001
1,Team 03,team_03_C,C,Flex Edge,72,120.44,73,48.44,48.44,0.6727,0.4022,1,6,batch_001,Batch market 001
1,Team 04,team_04_A,A,Club Control,153,152.14,117,-0.86,0.86,-0.0056,0.0057,1,6,batch_001,Batch market 001
1,Team 04,team_04_B,B,Court Starter,132,99.1,99,-32.9,32.9,-0.2492,0.3319,1,6,batch_001,Batch market 001
1,Team 04,team_04_C,C,Club Spin,98,139.91,75,41.91,41.91,0.4277,0.2996,1,6,batch_001,Batch market 001
1,Team 05,team_05_A,A,Elite Spin Pro,85,129.42,86,44.42,44.42,0.5226,0.3432,1,6,batch_001,Batch market 001
1,Team 05,team_05_B,B,Control Tour,95,127.22,96,32.22,32.22,0.3392,0.2533,1,6,batch_001,Batch market 001
1,Team 05,team_05_C,C,Club Prestige,0,0.0,0,0.0,0.0,0.0,0.0,1,6,batch_001,Batch market 001
1,Team 06,team_06_A,A,Momentum Edge,158,127.76,117,-30.24,30.24,-0.1914,0.2367,1,6,batch_001,Batch market 001
1,Team 06,team_06_B,B,Rise Power,112,136.51,83,24.51,24.51,0.2188,0.1795,1,6,batch_001,Batch market 001
1,Team 06,team_06_C,C,Court Wave,145,133.28,107,-11.72,11.72,-0.0809,0.088,1,6,batch_001,Batch market 001
2,Team 01,team_01_A,A,Momentum Edge,120,144.63,117,24.63,24.63,0.2053,0.1703,1,6,batch_001,Batch market 001
2,Team 01,team_01_B,B,Rise Power,85,144.39,83,59.39,59.39,0.6987,0.4113,1,6,batch_001,Batch market 001
2,Team 01,team_01_C,C,Court Wave,110,112.23,107,2.23,2.23,0.0203,0.0199,1,6,batch_001,Batch market 001
2,Team 02,team_02_A,A,Vector X,81,145.0,78,64.0,64.0,0.7902,0.4414,1,6,batch_001,Batch market 001
2,Team 02,team_02_B,B,Axis Control,99,135.71,96,36.71,36.71,0.3709,0.2705,1,6,batch_001,Batch market 001
2,Team 02,team_02_C,C,Baseline Drive,0,0.0,0,0.0,0.0,0.0,0.0,1,6,batch_001,Batch market 001
2,Team 03,team_03_A,A,Starter Pop,121,145.87,124,24.87,24.87,0.2055,0.1705,1,6,batch_001,Batch market 001
2,Team 03,team_03_B,B,Club Value,106,94.1,94,-11.9,11.9,-0.1123,0.1265,1,6,batch_001,Batch market 001
2,Team 03,team_03_C,C,Flex Edge,72,132.92,74,60.92,60.92,0.8462,0.4583,1,6,batch_001,Batch market 001
2,Team 04,team_04_A,A,Club Control,153,117.74,127,-35.26,35.26,-0.2304,0.2994,1,6,batch_001,Batch market 001
