round_number,team_name,archetype,active_product_count,active_project_count,launch_ready_project_count,launched_project_count,retired_product_count,total_forecast_units,total_actual_demand_units,forecast_error_units,absolute_forecast_error_units,forecast_wape,service_gap_units,weighted_average_selling_price,planned_production_units,actual_production_units,effective_capacity_units,utilization_pct,weighted_material_unit_cost,defect_rate,good_units_produced,demand_allocated,sales_units,lost_sales_units,backlog_units_end,ending_inventory,ending_raw_material_inventory,fill_rate,revenue,procurement_cost,production_cost,holding_cost,warranty_cost,backlog_cost,expansion_cost,innovation_investment,interest_expense,working_capital_requirement,planned_borrowing_amount,automatic_borrowing_amount,ending_cash_balance,short_term_debt_balance,liquidity_stress_flag,total_cost,profit,contribution_margin_per_unit,reputation_after_round,average_portfolio_tech_generation,cannibalized_demand_units,beginning_finished_goods_inventory,beginning_raw_material_inventory,raw_material_units_received,raw_material_units_consumed,raw_material_order_qty,backlog_units_start,launch_events_text,notes,run_id,team_count,market_scenario,market_label
1,Team 01,Sponsorship Growth,3,1,0,0,0,315,397.34,82.34,82.34,0.2072,89,139.99,315,315,339,92.92,34.31,0.0252,306,397.34,306,51,38,0,5,0.7701,42838.0,11665.4,15007.45,10.0,346.36,380.0,936.0,2500.0,22.0,321.55,1000.0,0.0,42154.79,1000.0,False,30867.21,11970.79,51.7,57.32,2.0,0.0,0,320,0,315,340,0,,"Portfolio forecast WAPE was 20.72% against realized demand. Lost 51 sales units across the portfolio. Carried 38 backlog units into next round. Used $1,000.00 of planned borrowing.",1,6,batch_001,Batch market 001
1,Team 02,Engineering Challenger,2,1,0,0,0,180,263.74,83.74,83.74,0.3175,89,172.92,176,176,304,57.89,37.41,0.005,174,263.74,174,71,18,0,114,0.6597,30088.8,6247.47,8986.34,228.0,39.15,180.0,648.0,9000.0,154.0,5314.74,7000.0,0.0,38749.84,7000.0,False,25482.96,4605.84,85.15,51.55,2.0,0.0,0,290,0,176,167,0,,"Portfolio forecast WAPE was 31.75% against realized demand. Lost 71 sales units across the portfolio. Carried 18 backlog units into next round. Used $7,000.00 of planned borrowing.",1,6,batch_001,Batch market 001
1,Team 03,Low-Cost Volume,3,1,0,0,0,299,354.58,55.58,83.86,0.2365,65,102.21,324,324,424,76.42,26.03,0.0513,306,354.58,288,47,18,18,96,0.8122,29437.2,6923.98,10953.36,300.0,667.91,180.0,0.0,750.0,0.0,3575.94,0.0,0.0,38893.95,0.0,False,19775.25,9661.95,37.82,40.35,1.33,16.9,0,420,0,324,266,0,,Portfolio forecast WAPE was 23.65% against realized demand. Lost 47 sales units across the portfolio. Carried 18 backlog units into next round.,1,6,batch_001,Batch market 001
1,Team 04,Community / Club,3,1,0,0,0,383,391.15,8.15,75.67,0.1935,99,120.39,325,300,345,86.96,28.47,0.0236,292,391.15,291,30,69,1,0,0.744,35032.32,12014.34,12917.26,6.0,309.37,690.0,2592.0,4000.0,220.0,1571.53,10000.0,0.0,35323.35,10000.0,False,32748.97,2283.35,33.65,55.77,1.67,19.37,0,300,0,300,422,0,,"Portfolio forecast WAPE was 19.35% against realized demand. Lost 30 sales units across the portfolio. Carried 69 backlog units into next round. Used $10,000.00 of planned borrowing.",1,6,batch_001,Batch market 001
1,Team 05,Premium Quality,2,1,0,0,0,180,256.64,76.64,76.64,0.2986,74,187.87,184,184,270,68.15,41.76,0.005,182,256.64,182,60,14,0,76,0.7092,34192.8,7683.84,9897.19,152.0,40.95,140.0,936.0,3000.0,0.0,3173.76,0.0,0.0,37926.82,0.0,False,21849.98,12342.82,91.05,61.2,2.0,0.0,0,260,0,184,184,0,,Portfolio forecast WAPE was 29.86% against realized demand. Lost 60 sales units across the portfolio. Carried 14 backlog units into next round.,1,6,batch_001,Batch market 001
1,Team 06,Sponsorship Growth,3,1,0,0,0,415,397.55,-17.45,66.47,0.1672,89,123.21,384,320,358,89.39,30.76,0.0376,307,397.55,307,6,83,0,0,0.7722,37825.92,14641.76,15538.22,0.0,520.04,830.0,2088.0,1500.0,77.0,525.0,3500.0,0.0,35314.9,3500.0,False,35195.02,2630.9,23.21,57.35,2.0,0.0,0,320,0,320,476,0,,"Portfolio forecast WAPE was 16.72% against realized demand. Lost 6 sales units across the portfolio. Carried 83 backlog units into next round. Used $3,500.00 of planned borrowing.",1,6,batch_001,Batch market 001
2,Team 01,Sponsorship Growth,3,1,0,0,0,315,401.25,86.25,86.25,0.215,131,140.01,315,315,352,89.49,35.18,0.0229,307,401.25,307,93,38,0,30,0.6989,42984.0,11961.2,15358.8,60.0,316.83,380.0,936.0,2500.0,44.0,1355.4,1000.0,0.0,54581.96,2000.0,False,31556.83,11427.17,49.99,50.04,2.0,9.0,0,5,340,315,340,38,,"Portfolio forecast WAPE was 21.50% against realized demand. Lost 93 sales units across the portfolio. Carried 38 backlog units into next round. Used $1,000.00 of planned borrowing.",1,6,batch_001,Batch market 001
2,Team 02,Engineering Challenger,2,1,0,0,0,180,280.71,100.71,100.71,0.3588,124,172.92,176,176,313,56.23,38.37,0.005,174,280.71,174,106,18,0,105,0.5825,30088.8,6407.79,9185.04,210.0,39.15,180.0,648.0,9000.0,308.0,6128.85,7000.0,0.0,49860.66,14000.0,True,25977.98,4110.82,83.09,41.28,2.0,0.0,0,114,167,176,167,18,,"Portfolio forecast WAPE was 35.88% against realized demand. Lost 106 sales units across the portfolio. Carried 18 backlog units into next round. Used $7,000.00 of planned borrowing. Liquidity stress flagged this round.",1,6,batch_001,Batch market 001
2,Team 03,Low-Cost Volume,3,1,0,0,0,299,372.89,73.89,97.69,0.262,97,102.27,324,324,424,76.42,26.69,0.0504,307,372.89,292,79,18,33,38,0.747,29861.52,7099.54,11214.49,274.01,663.53,180.0,0.0,750.0,0.0,3037.21,0.0,0.0,48573.9,0.0,False,20181.57,9679.95,37.27,30.3,1.33,17.31,18,96,266,324,266,18,,Portfolio forecast WAPE was 26.20% against realized demand. Lost 79 sales units across the portfolio. Carried 18 backlog units into next round.,1,6,batch_001,Batch market 001
2,Team 04,Community / Club,3,1,0,0,0,383,396.43,13.43,135.63,0.3421,150,120.46,325,325,381,85.3,29.19,0.0218,317,396.43,314,81,69,4,97,0.6746,37825.92,12318.18,14185.27,218.0,307.71,690.0,2592.0,4000.0,440.0,6122.78,10000.0,0.0,48398.11,20000.0,True,34751.16,3074.76,35.08,47.98,1.67,33.0,1,0,422,325,422,69,,"Portfolio forecast WAPE was 34.21% against realized demand. Lost 81 sales units across the portfolio. Carried 69 backlog units into next round. Used $10,000.00 of planned borrowing. Liquidity stress flagged this round.",1,6,batch_001,Batch market 001
2,Team 05,Premium Quality,2,1,0,0,0,180,274.15,94.15,94.15,0.3434,105,187.87,184,184,283,65.02,42.82,0.005,182,274.15,182,91,14,0,76,0.6316,34192.8,7878.88,10112.47,152.0,40.95,140.0,936.0,3000.0,0.0,3254.32,0.0,0.0,49859.32,0.0,False,22260.3,11932.5,88.79,53.4,2.0,0.0,0,76,184,184,184,14,,Portfolio forecast WAPE was 34.34% against realized demand. Lost 91 sales units across the portfolio. Carried 14 backlog units into next round.,1,6,batch_001,Batch market 001
2,Team 06,Sponsorship Growth,3,1,0,0,0,415,357.56,-57.44,89.14,0.2493,439,0.0,384,0,387,0.0,31.54,0.1059,0,357.56,0,356,83,0,0,0.0,0.0,15013.04,0.0,0.0,0.0,830.0,2088.0,1500.0,154.0,1050.0,3500.0,0.0,19229.86,7000.0,True,19585.04,-19585.04,0.0,12.3,2.0,7.94,0,0,0,0,476,83,,"Portfolio forecast WAPE was 24.93% against realized demand. Lost 356 sales units across the portfolio. Carried 83 backlog units into next round. Used $3,500.00 of planned borrowing. Liquidity stress flagged this round.",1,6,batch_001,Batch market 001
3,Team 01,Sponsorship Growth,3,1,0,0,0,315,402.71,87.71,87.71,0.2178,132,140.01,315,315,365,86.3,36.06,0.0224,307,402.71,307,94,38,0,55,0.6966,42984.0,12260.4,15708.1,109.99,309.36,380.0,936.0,2500.0,66.0,2433.3,1000.0,0.0,66296.11,3000.0,False,32269.85,10714.15,47.9,42.77,2.0,16.43,0,30,340,315,340,38,,"Portfolio forecast WAPE was 21.78% against realized demand. Lost 94 sales units across the portfolio. Carried 38 backlog units into next round. Used $1,000.00 of planned borrowing.",1,6,batch_001,Batch market 001
