round_number,team_name,product_id,product_name,slot_name,target_segment,lifecycle_stage,age_in_rounds,tech_generation,cannibalization_group,selling_price_per_unit,forecast_units,planned_production_units,actual_production_units,defect_rate,good_units_produced,demand_allocated,actual_demand_units,sales_units,lost_sales_units,ending_inventory,fill_rate,forecast_error_units,absolute_error_units,forecast_bias_pct,mape_or_wape_value,revenue,production_cost,holding_cost,warranty_cost,allocated_procurement_cost,allocated_backlog_cost,allocated_expansion_cost,contribution_margin_per_unit,profit_contribution,beginning_inventory,backlog_units_start,backlog_units_end,tech_gap_to_market,tech_attractiveness_adjustment,cannibalization_in_units,cannibalization_out_units,launched_this_round,launch_event,retired_this_round,retirement_liquidation_revenue,notes
1,Team 01,team_01_A,Elite Spin Pro,A,premium,launch,1,3,tour,209.52,85,87,87,0.005,86,59.83,59.83,59,0,27,0.9862,-25.17,25.17,-0.2961,0.4207,12361.68,4122.06,233.87,13.27,3744.48,0.0,442.57,119.1,2345.05,0,0,0,1,1.056,0.0,0.0,False,,False,0.0,
1,Team 01,team_01_B,Control Tour,B,mid,growth,2,2,tour,168.48,95,97,97,0.005,96,63.07,63.07,63,0,33,0.9988,-31.93,31.93,-0.3361,0.5061,10614.24,4577.43,278.13,14.18,4174.88,0.0,493.43,78.25,-463.43,0,0,0,0,1.0,0.0,0.0,False,,False,0.0,
1,Team 01,team_01_C,Club Prestige,C,mid,maturity,4,1,club,149.04,0,0,0,0.0,0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.49,0.0,0,0,0,-1,0.921,0.0,0.0,False,,False,0.0,
1,Team 02,team_02_A,Momentum Edge,A,mid,launch,1,2,power,128.48,158,146,122,0.0378,117,62.86,62.86,62,0,55,0.9863,-95.14,95.14,-0.6021,1.5135,7965.76,5712.04,330.0,105.47,5752.76,0.0,796.05,49.96,-5227.9,0,0,0,0,1.0,0.0,0.0,False,,False,0.0,Production capped from 146 to 122 by shared capacity or materials.
1,Team 02,team_02_B,Rise Power,B,premium,growth,2,3,power,156.64,112,104,86,0.0374,82,62.83,62.83,62,0,20,0.9867,-49.17,49.17,-0.439,0.7825,9711.68,4192.5,120.0,104.49,4055.22,0.0,561.15,76.19,181.2,0,0,0,1,1.056,0.0,0.0,False,,False,0.0,Production capped from 104 to 86 by shared capacity or materials.
1,Team 02,team_02_C,Court Wave,C,beginner,growth,3,1,entry,91.52,145,134,112,0.0407,107,63.9,63.9,63,0,44,0.986,-81.1,81.1,-0.5593,1.2693,5765.76,5289.76,264.0,115.44,5281.22,0.0,730.8,12.59,-6421.0,0,0,0,-1,0.973,0.0,0.0,False,,False,0.0,Production capped from 134 to 112 by shared capacity or materials.
1,Team 03,team_03_A,Vector X,A,premium,growth,2,3,engineered,184.0,90,90,90,0.005,89,64.86,64.86,64,0,25,0.9867,-25.14,25.14,-0.2793,0.3876,11776.0,4157.1,231.0,14.4,3527.39,0.0,388.8,101.52,2180.57,0,0,0,1,1.056,0.0,0.0,False,,False,0.0,
1,Team 03,team_03_B,Axis Control,B,mid,launch,1,2,engineered,149.0,110,110,110,0.005,109,62.14,62.14,62,0,47,0.9977,-47.86,47.86,-0.435,0.7701,9238.0,5023.7,381.0,13.95,4311.25,0.0,475.2,67.04,-2190.36,0,0,0,0,1.0,0.0,0.0,False,,False,0.0,
1,Team 03,team_03_C,Baseline Drive,C,beginner,maturity,5,1,entry,112.0,0,0,0,0.0,0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.67,0.0,0,0,0,-1,0.973,0.0,0.0,False,,False,0.0,
1,Team 04,team_04_A,Starter Pop,A,beginner,growth,2,1,entry,93.45,144,141,141,0.0442,134,70.56,70.56,70,0,64,0.9921,-73.44,73.44,-0.51,1.0408,6541.5,4779.9,442.34,139.39,3844.99,0.0,379.24,30.88,-6609.08,0,0,0,-1,0.973,6.71,0.0,False,,False,0.0,
1,Team 04,team_04_B,Club Value,B,beginner,maturity,4,1,entry,102.9,125,123,123,0.0403,118,45.34,45.34,45,0,73,0.9925,-79.66,79.66,-0.6373,1.757,4630.5,4199.22,488.9,81.71,3354.14,0.0,330.83,40.09,-6114.83,0,0,0,-1,0.973,0.0,8.34,False,,False,0.0,
1,Team 04,team_04_C,Flex Edge,C,mid,launch,1,2,hybrid,128.1,86,84,84,0.0473,80,62.25,62.25,62,0,18,0.996,-23.75,23.75,-0.2762,0.3816,7942.2,2943.36,142.76,132.03,2290.63,0.0,225.93,64.39,-937.26,0,0,0,0,1.0,1.63,0.0,False,,False,0.0,
1,Team 05,team_05_A,Club Control,A,mid,growth,3,2,club,134.64,83,90,90,0.0196,88,76.6,76.6,76,0,12,0.9921,-6.4,6.4,-0.0771,0.0835,10232.64,3237.3,132.0,67.04,2178.56,0.0,0.0,69.07,4317.3,0,0,0,0,1.0,4.82,0.0,False,,False,0.0,
