round_number,team_name,archetype,active_product_count,active_project_count,launch_ready_project_count,launched_project_count,retired_product_count,total_forecast_units,total_actual_demand_units,forecast_error_units,absolute_forecast_error_units,forecast_wape,service_gap_units,weighted_average_selling_price,planned_production_units,actual_production_units,effective_capacity_units,utilization_pct,weighted_material_unit_cost,defect_rate,good_units_produced,demand_allocated,sales_units,lost_sales_units,backlog_units_end,ending_inventory,ending_raw_material_inventory,fill_rate,revenue,procurement_cost,production_cost,holding_cost,warranty_cost,backlog_cost,expansion_cost,innovation_investment,interest_expense,working_capital_requirement,planned_borrowing_amount,automatic_borrowing_amount,ending_cash_balance,short_term_debt_balance,liquidity_stress_flag,total_cost,profit,contribution_margin_per_unit,reputation_after_round,average_portfolio_tech_generation,cannibalized_demand_units,beginning_finished_goods_inventory,beginning_raw_material_inventory,raw_material_units_received,raw_material_units_consumed,raw_material_order_qty,backlog_units_start,launch_events_text,notes
1,Team 01,Premium Quality,2,1,0,0,0,180,122.9,-57.1,57.1,0.4646,0,188.33,184,184,270,68.15,43.04,0.005,182,122.9,122,0,0,60,76,0.9927,22975.92,7919.36,8699.49,512.0,27.45,0.0,936.0,3000.0,0.0,8690.23,0.0,0.0,27465.62,0.0,False,21094.3,1881.62,51.88,70.62,2.0,0.0,0,260,0,184,184,0,,Portfolio forecast WAPE was 46.46% against realized demand.
1,Team 02,Sponsorship Growth,3,1,0,0,0,415,189.59,-225.41,225.41,1.1889,0,125.36,384,320,358,89.39,31.7,0.0387,306,189.59,187,0,0,119,0,0.9863,23443.2,15089.2,15194.3,714.0,325.4,0.0,2088.0,1500.0,77.0,9947.68,3500.0,0.0,21139.3,3500.0,False,34987.9,-11544.7,-38.32,62.43,2.0,0.0,0,320,0,320,476,0,,"Portfolio forecast WAPE was 118.89% against realized demand. Used $3,500.00 of planned borrowing."
1,Team 03,Engineering Challenger,2,1,0,0,0,200,127.0,-73.0,73.0,0.5748,0,166.78,200,200,307,65.15,36.29,0.005,198,127.0,126,0,0,72,90,0.9921,21014.0,7838.64,9180.8,612.0,28.35,0.0,864.0,2500.0,22.0,9334.07,1000.0,0.0,28112.21,1000.0,False,21045.79,-31.79,31.48,62.61,2.0,0.0,0,290,0,200,216,0,,"Portfolio forecast WAPE was 57.48% against realized demand. Used $1,000.00 of planned borrowing."
1,Team 04,Low-Cost Volume,3,1,0,0,0,355,178.15,-176.85,176.85,0.9927,0,107.99,348,348,441,78.91,28.67,0.0436,332,178.15,177,0,0,155,72,0.9935,19114.2,9489.77,11922.48,1074.0,353.13,0.0,936.0,9000.0,154.0,12868.39,7000.0,0.0,22416.82,7000.0,False,32929.38,-13815.18,-14.98,47.94,1.33,8.34,0,420,0,348,331,0,,"Portfolio forecast WAPE was 99.27% against realized demand. Used $7,000.00 of planned borrowing."
1,Team 05,Community / Club,3,1,0,0,0,207,191.23,-15.77,46.53,0.2433,12,130.97,225,225,303,74.26,29.6,0.0206,219,191.23,178,0,12,41,75,0.9308,23313.12,5446.4,8111.61,396.0,162.96,120.0,0.0,750.0,0.0,4911.72,0.0,0.0,31366.15,0.0,False,14986.97,8326.15,53.89,61.36,1.67,9.23,0,300,0,225,184,0,,Portfolio forecast WAPE was 24.33% against realized demand. Carried 12 backlog units into next round.
1,Team 06,Premium Quality,2,1,0,0,0,278,127.12,-150.88,150.88,1.1869,0,167.13,236,236,299,78.93,37.59,0.0056,234,127.12,126,0,0,108,24,0.9912,21058.56,11540.13,11993.88,696.0,31.57,0.0,2232.0,4000.0,220.0,11950.6,10000.0,0.0,25928.98,10000.0,True,30713.58,-9655.02,-19.9,69.78,2.0,0.0,0,260,0,236,307,0,,"Portfolio forecast WAPE was 118.69% against realized demand. Used $10,000.00 of planned borrowing. Liquidity stress flagged this round."
2,Team 01,Premium Quality,2,1,0,0,0,180,130.52,-49.48,49.48,0.3791,0,189.16,184,184,283,65.02,44.1,0.005,182,130.52,129,0,0,113,76,0.9884,24401.52,8114.4,8915.64,830.0,29.02,0.0,936.0,3000.0,0.0,13810.27,0.0,0.0,30042.08,0.0,False,21825.06,2576.46,56.92,75.18,2.0,0.0,60,76,184,184,184,0,,Portfolio forecast WAPE was 37.91% against realized demand.
2,Team 02,Sponsorship Growth,3,1,0,0,0,415,187.16,-227.84,227.84,1.2174,66,119.55,384,0,387,0.0,32.48,0.1099,0,187.16,119,0,66,0,0,0.6358,14226.08,15460.48,0.0,0.0,194.03,660.0,2088.0,1500.0,154.0,1050.0,3500.0,0.0,18808.87,7000.0,True,20056.51,-5830.43,-12.0,45.71,2.0,4.2,119,0,0,0,476,0,,"Portfolio forecast WAPE was 121.74% against realized demand. Carried 66 backlog units into next round. Used $3,500.00 of planned borrowing. Liquidity stress flagged this round."
2,Team 03,Engineering Challenger,2,1,0,0,0,200,135.1,-64.9,64.9,0.4804,0,166.24,200,200,319,62.7,37.19,0.005,198,135.1,134,0,0,136,106,0.9919,22276.0,8033.04,9408.6,1028.0,30.15,0.0,864.0,2500.0,44.0,15697.83,1000.0,0.0,29480.42,2000.0,True,21907.79,368.21,35.85,66.47,2.0,0.0,72,90,216,200,216,0,,"Portfolio forecast WAPE was 48.04% against realized demand. Used $1,000.00 of planned borrowing. Liquidity stress flagged this round."
2,Team 04,Low-Cost Volume,3,1,0,0,0,355,185.75,-169.25,169.25,0.9112,0,108.54,348,348,454,76.65,29.38,0.0426,332,185.75,185,0,0,302,55,0.996,20079.15,9724.78,12218.55,1922.0,357.47,0.0,936.0,9000.0,308.0,23192.11,7000.0,0.0,15029.17,14000.0,True,34466.8,-14387.65,-12.01,47.28,1.33,8.46,155,72,331,348,331,0,,"Portfolio forecast WAPE was 91.12% against realized demand. Used $7,000.00 of planned borrowing. Liquidity stress flagged this round."
2,Team 05,Community / Club,3,1,0,0,0,207,190.8,-16.2,77.16,0.4044,38,130.35,225,225,303,74.26,30.33,0.0187,220,190.8,163,26,12,98,34,0.8037,21246.6,5580.72,8311.86,656.0,134.66,120.0,0.0,750.0,0.0,7623.84,0.0,0.0,37059.51,0.0,False,15553.24,5693.36,44.29,58.62,1.67,15.95,41,75,184,225,184,12,,Portfolio forecast WAPE was 40.44% against realized demand. Lost 26 sales units across the portfolio. Carried 12 backlog units into next round.
2,Team 06,Premium Quality,2,1,0,0,0,278,134.67,-143.33,143.33,1.0643,0,167.73,236,236,330,71.52,38.52,0.005,234,134.67,134,0,0,208,95,0.995,22475.52,11825.64,12291.12,1438.0,30.15,0.0,2232.0,4000.0,440.0,25504.41,10000.0,0.0,26147.59,20000.0,True,32256.91,-9781.39,-12.47,73.68,2.0,0.0,108,24,307,236,307,0,,"Portfolio forecast WAPE was 106.43% against realized demand. Used $10,000.00 of planned borrowing. Liquidity stress flagged this round."
3,Team 01,Premium Quality,2,1,0,0,0,180,133.3,-46.7,46.7,0.3503,0,192.24,184,184,296,62.16,45.17,0.005,182,133.3,133,0,0,162,76,0.9977,25567.92,8311.28,9130.92,1124.0,29.92,0.0,936.0,3000.0,0.0,18789.64,0.0,0.0,33077.88,0.0,False,22532.12,3035.8,60.87,79.87,2.0,5.25,113,76,184,184,184,0,,Portfolio forecast WAPE was 35.03% against realized demand.
