round_number,team_name,product_id,slot_name,product_name,forecast_units,actual_demand_units,actual_sales_units,forecast_error_units,absolute_error_units,forecast_bias_pct,mape_or_wape_value
1,Team 01,team_01_A,A,Elite Spin Pro,85,79.04,79,-5.96,5.96,-0.0701,0.0754
1,Team 01,team_01_B,B,Control Tour,95,81.71,81,-13.29,13.29,-0.1399,0.1626
1,Team 01,team_01_C,C,Club Prestige,0,0.0,0,0.0,0.0,0.0,0.0
1,Team 02,team_02_A,A,Momentum Edge,158,78.81,78,-79.19,79.19,-0.5012,1.0049
1,Team 02,team_02_B,B,Rise Power,112,81.27,81,-30.73,30.73,-0.2744,0.3782
1,Team 02,team_02_C,C,Court Wave,145,76.07,76,-68.93,68.93,-0.4754,0.9062
1,Team 03,team_03_A,A,Vector X,90,85.93,85,-4.07,4.07,-0.0453,0.0474
1,Team 03,team_03_B,B,Axis Control,110,79.17,79,-30.83,30.83,-0.2802,0.3893
1,Team 03,team_03_C,C,Baseline Drive,0,0.0,0,0.0,0.0,0.0,0.0
1,Team 04,team_04_A,A,Starter Pop,144,82.76,82,-61.24,61.24,-0.4253,0.7399
1,Team 04,team_04_B,B,Club Value,125,53.62,53,-71.38,71.38,-0.571,1.3312
1,Team 04,team_04_C,C,Flex Edge,86,76.7,76,-9.3,9.3,-0.1082,0.1213
1,Team 05,team_05_A,A,Club Control,83,95.16,87,12.16,12.16,0.1465,0.1278
1,Team 05,team_05_B,B,Court Starter,72,56.48,56,-15.52,15.52,-0.2155,0.2747
1,Team 05,team_05_C,C,Club Spin,52,84.09,55,32.09,32.09,0.6171,0.3816
1,Team 06,team_06_A,A,Elite Spin Pro,132,79.89,79,-52.11,52.11,-0.3948,0.6523
1,Team 06,team_06_B,B,Control Tour,146,85.3,85,-60.7,60.7,-0.4157,0.7115
1,Team 06,team_06_C,C,Club Prestige,0,0.0,0,0.0,0.0,0.0,0.0
2,Team 01,team_01_A,A,Elite Spin Pro,85,90.5,90,5.5,5.5,0.0647,0.0608
2,Team 01,team_01_B,B,Control Tour,95,86.91,86,-8.09,8.09,-0.0852,0.0931
2,Team 01,team_01_C,C,Club Prestige,0,0.0,0,0.0,0.0,0.0,0.0
2,Team 02,team_02_A,A,Momentum Edge,158,90.79,38,-67.21,67.21,-0.4254,0.7402
2,Team 02,team_02_B,B,Rise Power,112,78.39,1,-33.61,33.61,-0.3001,0.4287
2,Team 02,team_02_C,C,Court Wave,145,62.46,30,-82.54,82.54,-0.5692,1.3214
2,Team 03,team_03_A,A,Vector X,90,91.33,43,1.33,1.33,0.0148,0.0146
2,Team 03,team_03_B,B,Axis Control,110,91.23,79,-18.77,18.77,-0.1707,0.2058
2,Team 03,team_03_C,C,Baseline Drive,0,0.0,0,0.0,0.0,0.0,0.0
2,Team 04,team_04_A,A,Starter Pop,144,87.14,87,-56.86,56.86,-0.3949,0.6526
2,Team 04,team_04_B,B,Club Value,125,56.43,56,-68.57,68.57,-0.5485,1.215
