round_number,team_name,product_id,product_name,slot_name,target_segment,lifecycle_stage,age_in_rounds,tech_generation,cannibalization_group,selling_price_per_unit,forecast_units,planned_production_units,actual_production_units,defect_rate,good_units_produced,demand_allocated,actual_demand_units,sales_units,lost_sales_units,ending_inventory,fill_rate,forecast_error_units,absolute_error_units,forecast_bias_pct,mape_or_wape_value,revenue,production_cost,holding_cost,warranty_cost,allocated_procurement_cost,allocated_backlog_cost,allocated_expansion_cost,contribution_margin_per_unit,profit_contribution,beginning_inventory,backlog_units_start,backlog_units_end,tech_gap_to_market,tech_attractiveness_adjustment,cannibalization_in_units,cannibalization_out_units,launched_this_round,launch_event,retired_this_round,retirement_liquidation_revenue,notes
1,Team 01,team_01_A,Elite Spin Pro,A,premium,launch,1,3,tour,209.52,85,87,87,0.005,86,87.6,87.6,86,0,0,0.9817,2.6,2.6,0.0306,0.0297,18018.72,4244.73,71.87,19.35,3854.97,10.0,442.57,116.42,7840.53,0,0,1,0,1.0,0.0,0.0,False,,False,0.0,Carried 1 backlog units.
1,Team 01,team_01_B,Control Tour,B,mid,growth,2,2,tour,168.48,95,97,97,0.005,96,83.64,83.64,83,0,13,0.9924,-11.36,11.36,-0.1196,0.1358,13983.84,4714.2,158.13,18.68,4298.07,0.0,493.43,75.57,2836.03,0,0,0,-1,0.876,0.0,0.0,False,,False,0.0,
1,Team 01,team_01_C,Club Prestige,C,mid,maturity,4,1,club,149.04,0,0,0,0.0,0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.14,0.0,0,0,0,-2,0.752,0.0,0.0,False,,False,0.0,
1,Team 02,team_02_A,Momentum Edge,A,mid,launch,1,2,power,128.48,158,146,122,0.0378,117,80.63,80.63,80,0,37,0.9922,-77.37,77.37,-0.4897,0.9596,10278.4,5881.62,222.0,136.1,5923.34,0.0,796.05,47.63,-3162.86,0,0,0,-1,0.876,0.0,0.0,False,,False,0.0,Production capped from 146 to 122 by shared capacity or materials.
1,Team 02,team_02_B,Rise Power,B,premium,growth,2,3,power,156.64,112,104,86,0.0334,83,90.46,90.46,83,0,0,0.9176,-21.54,21.54,-0.1924,0.2382,13001.12,4316.34,0.0,124.94,4175.47,70.0,561.15,73.81,3212.3,0,0,7,0,1.0,0.0,0.0,False,,False,0.0,Production capped from 104 to 86 by shared capacity or materials. Carried 7 backlog units.
1,Team 02,team_02_C,Court Wave,C,beginner,growth,3,1,entry,91.52,145,134,112,0.0407,107,79.75,79.75,79,0,28,0.9905,-65.25,65.25,-0.45,0.8181,7230.08,5446.56,168.0,144.76,5437.82,0.0,730.8,10.25,-5174.79,0,0,0,-2,0.92,0.0,0.0,False,,False,0.0,Production capped from 134 to 112 by shared capacity or materials.
1,Team 03,team_03_A,Vector X,A,premium,growth,2,3,engineered,184.0,90,90,90,0.005,89,95.47,95.47,89,0,0,0.9322,5.47,5.47,0.0608,0.0573,16376.0,4281.3,81.0,20.02,3632.36,60.0,388.8,99.06,6560.65,0,0,6,0,1.0,0.0,0.0,False,,False,0.0,Carried 6 backlog units.
1,Team 03,team_03_B,Axis Control,B,mid,launch,1,2,engineered,149.0,110,110,110,0.005,109,81.09,81.09,81,0,28,0.999,-28.91,28.91,-0.2629,0.3566,12069.0,5173.3,267.0,18.23,4439.56,0.0,475.2,64.6,547.58,0,0,0,-1,0.876,0.0,0.0,False,,False,0.0,
1,Team 03,team_03_C,Baseline Drive,C,beginner,maturity,5,1,entry,112.0,0,0,0,0.0,0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.38,0.0,0,0,0,-2,0.92,0.0,0.0,False,,False,0.0,
1,Team 04,team_04_A,Starter Pop,A,beginner,growth,2,1,entry,93.45,144,141,141,0.0442,134,85.22,85.22,85,0,49,0.9974,-58.78,58.78,-0.4082,0.6897,7943.25,4922.31,352.34,169.25,3958.99,0.0,379.24,29.02,-5352.11,0,0,0,-2,0.92,8.27,0.0,False,,False,0.0,
1,Team 04,team_04_B,Club Value,B,beginner,maturity,4,1,entry,102.9,125,123,123,0.0403,118,55.89,55.89,55,0,63,0.984,-69.11,69.11,-0.5529,1.2364,5659.5,4324.68,428.9,99.87,3453.59,0.0,330.83,38.22,-5282.45,0,0,0,-2,0.92,0.0,10.28,False,,False,0.0,
1,Team 04,team_04_C,Flex Edge,C,mid,launch,1,2,hybrid,128.1,86,84,84,0.0473,80,77.21,77.21,77,0,3,0.9973,-8.79,8.79,-0.1023,0.1139,9863.7,3030.72,52.76,163.98,2358.55,0.0,225.93,62.5,849.07,0,0,0,-1,0.876,2.01,0.0,False,,False,0.0,
1,Team 05,team_05_A,Club Control,A,mid,growth,3,2,club,134.64,83,90,90,0.0196,88,96.78,96.78,88,5,0,0.9093,13.78,13.78,0.166,0.1424,11848.32,3333.6,60.0,77.63,2243.33,30.0,0.0,67.12,5803.74,0,0,3,-1,0.876,6.09,0.0,False,,False,0.0,Lost 5 sales units. Carried 3 backlog units.
1,Team 05,team_05_B,Court Starter,B,beginner,maturity,4,1,club,104.04,72,78,78,0.0223,76,59.66,59.66,59,0,17,0.9889,-12.34,12.34,-0.1713,0.2068,6138.36,2893.8,154.0,59.26,1944.22,0.0,0.0,36.46,902.13,0,0,0,-2,0.92,0.0,11.66,False,,False,0.0,
1,Team 05,team_05_C,Club Spin,C,mid,launch,1,2,club,148.92,52,57,57,0.0197,55,85.5,85.5,55,21,0,0.6433,33.5,33.5,0.6441,0.3918,8190.6,2124.96,38.0,48.71,1420.77,90.0,0.0,81.16,4203.13,0,0,9,-1,0.876,5.57,0.0,False,,False,0.0,Lost 21 sales units. Carried 9 backlog units.
1,Team 06,team_06_A,Elite Spin Pro,A,premium,launch,1,3,tour,186.24,132,112,112,0.005,111,89.56,89.56,89,0,22,0.9938,-42.44,42.44,-0.3215,0.4739,16575.36,5893.44,154.78,20.02,5638.39,0.0,1059.25,94.92,1786.7,0,0,0,0,1.0,0.0,0.0,False,,False,0.0,
1,Team 06,team_06_B,Control Tour,B,mid,growth,2,2,tour,149.76,146,124,124,0.005,123,87.54,87.54,87,0,36,0.9938,-58.46,58.46,-0.4004,0.6678,13029.12,6456.68,241.22,19.57,6242.51,0.0,1172.75,58.99,-3080.83,0,0,0,-1,0.876,0.0,0.0,False,,False,0.0,
1,Team 06,team_06_C,Club Prestige,C,mid,maturity,4,1,club,132.48,0,0,0,0.0,0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.58,0.0,0,0,0,-2,0.752,0.0,0.0,False,,False,0.0,
