round_number,team_name,archetype,active_product_count,active_project_count,launch_ready_project_count,launched_project_count,retired_product_count,total_forecast_units,total_actual_demand_units,forecast_error_units,absolute_forecast_error_units,forecast_wape,service_gap_units,weighted_average_selling_price,planned_production_units,actual_production_units,effective_capacity_units,utilization_pct,weighted_material_unit_cost,defect_rate,good_units_produced,demand_allocated,sales_units,lost_sales_units,backlog_units_end,ending_inventory,ending_raw_material_inventory,fill_rate,revenue,procurement_cost,production_cost,holding_cost,warranty_cost,backlog_cost,expansion_cost,innovation_investment,interest_expense,working_capital_requirement,planned_borrowing_amount,automatic_borrowing_amount,ending_cash_balance,short_term_debt_balance,liquidity_stress_flag,total_cost,profit,contribution_margin_per_unit,reputation_after_round,average_portfolio_tech_generation,cannibalized_demand_units,beginning_finished_goods_inventory,beginning_raw_material_inventory,raw_material_units_received,raw_material_units_consumed,raw_material_order_qty,backlog_units_start,launch_events_text,notes
1,Team 01,Premium Quality,2,1,0,0,0,180,171.24,-8.76,13.96,0.0815,1,189.36,184,184,270,68.15,44.31,0.005,182,171.24,169,0,1,13,76,0.9869,32002.56,8153.04,8958.93,230.0,38.03,10.0,936.0,3000.0,0.0,4576.56,0.0,0.0,36260.56,0.0,False,21326.0,10676.56,87.88,70.7,2.0,0.0,0,260,0,184,184,0,,Portfolio forecast WAPE was 8.15% against realized demand. Carried 1 backlog units into next round.
1,Team 02,Sponsorship Growth,3,1,0,0,0,415,250.84,-164.16,164.16,0.6544,7,126.07,384,320,358,89.39,32.64,0.0376,307,250.84,242,0,7,65,0,0.9648,30509.6,15536.64,15644.52,390.0,405.8,70.0,2088.0,1500.0,77.0,5824.39,3500.0,0.0,27481.64,3500.0,False,35711.96,-5202.36,-4.45,61.97,2.0,0.0,0,320,0,320,476,0,,"Portfolio forecast WAPE was 65.44% against realized demand. Carried 7 backlog units into next round. Used $3,500.00 of planned borrowing."
1,Team 03,Engineering Challenger,2,1,0,0,0,200,176.56,-23.44,34.38,0.1947,6,167.32,200,200,307,65.15,37.37,0.005,198,176.56,170,0,6,28,90,0.9628,28445.0,8071.92,9454.6,348.0,38.25,60.0,864.0,2500.0,22.0,5883.3,1000.0,0.0,35230.23,1000.0,False,21358.77,7086.23,64.0,62.13,2.0,0.0,0,290,0,200,216,0,,"Portfolio forecast WAPE was 19.47% against realized demand. Carried 6 backlog units into next round. Used $1,000.00 of planned borrowing."
1,Team 04,Low-Cost Volume,3,1,0,0,0,355,218.32,-136.68,136.68,0.6261,0,108.14,348,348,441,78.91,29.52,0.0436,332,218.32,217,0,0,115,72,0.994,23466.45,9771.12,12277.71,834.0,433.1,0.0,936.0,9000.0,154.0,10627.53,7000.0,0.0,26292.52,7000.0,False,33405.93,-9939.48,4.54,47.83,1.33,10.28,0,420,0,348,331,0,,"Portfolio forecast WAPE was 62.61% against realized demand. Used $7,000.00 of planned borrowing."
1,Team 05,Community / Club,3,1,0,0,0,207,241.94,34.94,59.62,0.2464,38,129.59,225,225,303,74.26,30.48,0.0206,219,241.94,202,26,12,17,75,0.8349,26177.28,5608.32,8352.36,252.0,185.6,120.0,0.0,750.0,0.0,3435.23,0.0,0.0,33949.0,0.0,False,15268.28,10909.0,59.56,57.9,1.67,11.66,0,300,0,225,184,0,,Portfolio forecast WAPE was 24.64% against realized demand. Lost 26 sales units across the portfolio. Carried 12 backlog units into next round.
1,Team 06,Premium Quality,2,1,0,0,0,278,177.1,-100.9,100.9,0.5697,0,168.21,236,236,299,78.93,38.7,0.005,234,177.1,176,0,0,58,24,0.9938,29604.48,11880.9,12350.12,396.0,39.59,0.0,2232.0,4000.0,220.0,7708.6,10000.0,0.0,34069.87,10000.0,False,31118.61,-1514.13,30.31,70.84,2.0,0.0,0,260,0,236,307,0,,"Portfolio forecast WAPE was 56.97% against realized demand. Used $10,000.00 of planned borrowing."
2,Team 01,Premium Quality,2,1,0,0,0,180,194.57,14.57,21.97,0.1129,18,188.42,184,184,283,65.02,45.38,0.005,182,194.57,177,4,14,18,76,0.905,33350.4,8349.92,9173.24,260.0,39.83,140.0,936.0,3000.0,0.0,5163.1,0.0,0.0,47711.97,0.0,False,21898.99,11451.41,89.19,73.29,2.0,0.0,13,76,184,184,184,1,,Portfolio forecast WAPE was 11.29% against realized demand. Lost 4 sales units across the portfolio. Carried 14 backlog units into next round.
2,Team 02,Sponsorship Growth,3,1,0,0,0,415,252.2,-162.8,162.8,0.6455,193,112.56,384,0,387,0.0,33.42,0.1059,0,252.2,65,110,83,0,0,0.2508,7316.32,15907.92,0.0,0.0,105.07,830.0,2088.0,1500.0,154.0,1050.0,3500.0,0.0,17712.97,7000.0,True,20584.99,-13268.67,-133.79,30.91,2.0,5.37,65,0,0,0,476,7,,"Portfolio forecast WAPE was 64.55% against realized demand. Lost 110 sales units across the portfolio. Carried 83 backlog units into next round. Used $3,500.00 of planned borrowing. Liquidity stress flagged this round."
2,Team 03,Engineering Challenger,2,1,0,0,0,200,200.0,0.0,28.8,0.144,21,165.93,200,200,319,62.7,38.27,0.005,198,200.0,184,0,21,42,106,0.8932,30531.0,8266.32,9681.5,464.0,41.4,210.0,864.0,2500.0,44.0,7997.08,1000.0,0.0,44690.01,2000.0,False,22071.22,8459.78,68.16,64.75,2.0,0.0,28,90,216,200,216,6,,"Portfolio forecast WAPE was 14.40% against realized demand. Carried 21 backlog units into next round. Used $1,000.00 of planned borrowing."
2,Team 04,Low-Cost Volume,3,1,0,0,0,355,243.25,-111.75,120.15,0.4939,7,108.1,348,348,454,76.65,30.23,0.0426,332,243.25,235,0,7,212,55,0.9661,25403.7,10006.13,12571.14,1382.0,453.94,70.0,936.0,9000.0,308.0,17829.69,7000.0,0.0,23969.01,14000.0,True,34727.21,-9323.51,10.1,46.42,1.33,11.15,115,72,331,348,331,0,,"Portfolio forecast WAPE was 49.39% against realized demand. Carried 7 backlog units into next round. Used $7,000.00 of planned borrowing. Liquidity stress flagged this round."
