round_number,team_name,archetype,active_product_count,active_project_count,launch_ready_project_count,launched_project_count,retired_product_count,total_forecast_units,total_actual_demand_units,forecast_error_units,absolute_forecast_error_units,forecast_wape,service_gap_units,weighted_average_selling_price,planned_production_units,actual_production_units,effective_capacity_units,utilization_pct,weighted_material_unit_cost,defect_rate,good_units_produced,demand_allocated,sales_units,lost_sales_units,backlog_units_end,ending_inventory,ending_raw_material_inventory,fill_rate,revenue,procurement_cost,production_cost,holding_cost,warranty_cost,backlog_cost,expansion_cost,innovation_investment,interest_expense,working_capital_requirement,planned_borrowing_amount,automatic_borrowing_amount,ending_cash_balance,short_term_debt_balance,liquidity_stress_flag,total_cost,profit,contribution_margin_per_unit,reputation_after_round,average_portfolio_tech_generation,cannibalized_demand_units,beginning_finished_goods_inventory,beginning_raw_material_inventory,raw_material_units_received,raw_material_units_consumed,raw_material_order_qty,backlog_units_start,launch_events_text,notes
1,Team 01,Premium Quality,2,1,0,0,0,180,163.63,-16.37,16.37,0.1,0,188.62,184,184,270,68.15,42.61,0.005,182,163.63,163,0,0,19,76,0.9961,30745.44,7840.24,10069.28,266.0,36.68,0.0,936.0,3000.0,0.0,5087.71,0.0,0.0,34181.24,0.0,False,22148.2,8597.24,78.52,70.77,2.0,0.0,0,260,0,184,184,0,,Portfolio forecast WAPE was 10.00% against realized demand.
1,Team 02,Sponsorship Growth,3,1,0,0,0,415,241.6,-173.4,173.4,0.7177,1,126.39,384,320,358,89.39,31.38,0.0387,306,241.6,239,0,1,67,0,0.9892,30206.88,14936.88,15838.4,402.0,415.25,10.0,2088.0,1500.0,77.0,5943.62,3500.0,0.0,27623.35,3500.0,False,35267.53,-5060.65,-4.12,62.4,2.0,0.0,0,320,0,320,476,0,,"Portfolio forecast WAPE was 71.77% against realized demand. Carried 1 backlog units into next round. Used $3,500.00 of planned borrowing."
1,Team 03,Engineering Challenger,2,1,0,0,0,200,168.62,-31.38,31.38,0.1861,0,167.12,200,200,307,65.15,35.93,0.005,198,168.62,168,0,0,30,90,0.9963,28077.0,7760.88,10285.8,360.0,37.8,0.0,864.0,2500.0,22.0,6004.47,1000.0,0.0,34390.52,1000.0,False,21830.48,6246.52,59.48,62.77,2.0,0.0,0,290,0,200,216,0,,"Portfolio forecast WAPE was 18.61% against realized demand. Used $1,000.00 of planned borrowing."
1,Team 04,Low-Cost Volume,3,1,0,0,0,355,215.98,-139.02,139.02,0.6437,0,108.39,348,348,441,78.91,28.39,0.0436,332,215.98,215,0,0,117,72,0.9955,23304.75,9397.09,12931.95,846.0,429.42,0.0,936.0,9000.0,154.0,10763.52,7000.0,0.0,25842.29,7000.0,False,33694.46,-10389.71,2.54,47.91,1.33,9.95,0,420,0,348,331,0,,"Portfolio forecast WAPE was 64.37% against realized demand. Used $7,000.00 of planned borrowing."
1,Team 05,Community / Club,3,1,0,0,0,207,240.99,33.99,63.63,0.264,40,129.85,225,225,303,74.26,29.31,0.0206,219,240.99,200,28,12,19,75,0.8299,25969.2,5393.04,8778.81,264.0,183.59,120.0,0.0,750.0,0.0,3496.46,0.0,0.0,33519.76,0.0,False,15489.44,10479.76,58.07,57.68,1.67,11.18,0,300,0,225,184,0,,Portfolio forecast WAPE was 26.40% against realized demand. Lost 28 sales units across the portfolio. Carried 12 backlog units into next round.
1,Team 06,Premium Quality,2,1,0,0,0,278,169.18,-108.82,108.82,0.6432,0,167.35,236,236,299,78.93,37.22,0.0056,234,169.18,168,0,0,66,24,0.993,28114.56,11426.54,13269.84,444.0,42.14,0.0,2232.0,4000.0,220.0,8560.86,10000.0,0.0,32064.04,10000.0,False,31634.52,-3519.96,20.1,70.66,2.0,0.0,0,260,0,236,307,0,,"Portfolio forecast WAPE was 64.32% against realized demand. Used $10,000.00 of planned borrowing."
2,Team 01,Premium Quality,2,1,0,0,0,180,182.19,2.19,13.73,0.0754,0,189.34,184,184,283,65.02,43.67,0.005,182,182.19,181,0,0,20,76,0.9935,34270.56,8035.28,10285.43,272.0,40.72,0.0,936.0,3000.0,0.0,5310.3,0.0,0.0,45882.37,0.0,False,22569.43,11701.13,87.9,75.5,2.0,0.0,19,76,184,184,184,0,,Portfolio forecast WAPE was 7.54% against realized demand.
2,Team 02,Sponsorship Growth,3,1,0,0,0,415,239.15,-175.85,175.85,0.7353,172,111.38,384,0,387,0.0,32.17,0.1099,0,239.15,67,89,83,0,0,0.279,7462.4,15312.92,0.0,0.0,108.77,830.0,2088.0,1500.0,154.0,1050.0,3500.0,0.0,18592.06,7000.0,True,19993.69,-12531.29,-118.8,32.74,2.0,5.13,67,0,0,0,476,1,,"Portfolio forecast WAPE was 73.53% against realized demand. Lost 89 sales units across the portfolio. Carried 83 backlog units into next round. Used $3,500.00 of planned borrowing. Liquidity stress flagged this round."
2,Team 03,Engineering Challenger,2,1,0,0,0,200,187.93,-12.07,19.83,0.1055,2,166.22,200,200,319,62.7,36.83,0.005,198,187.93,185,0,2,43,106,0.9844,30750.0,7955.28,10512.7,470.0,41.63,20.0,864.0,2500.0,44.0,8047.9,1000.0,0.0,43732.91,2000.0,False,22407.61,8342.39,66.16,67.29,2.0,0.0,30,90,216,200,216,0,,"Portfolio forecast WAPE was 10.55% against realized demand. Carried 2 backlog units into next round. Used $1,000.00 of planned borrowing."
2,Team 04,Low-Cost Volume,3,1,0,0,0,355,236.37,-118.63,127.15,0.5379,8,108.34,348,348,454,76.65,29.1,0.0426,332,236.37,227,0,8,222,55,0.9604,24593.1,9632.1,13226.79,1442.0,438.59,80.0,936.0,9000.0,308.0,18598.48,7000.0,0.0,22371.91,14000.0,True,35063.48,-10470.38,5.71,46.43,1.33,10.58,117,72,331,348,331,0,,"Portfolio forecast WAPE was 53.79% against realized demand. Carried 8 backlog units into next round. Used $7,000.00 of planned borrowing. Liquidity stress flagged this round."
