round_number,team_name,product_id,slot_name,product_name,forecast_units,actual_demand_units,actual_sales_units,forecast_error_units,absolute_error_units,forecast_bias_pct,mape_or_wape_value
1,Team 01,team_01_A,A,Elite Spin Pro,85,116.04,86,31.04,31.04,0.3651,0.2675
1,Team 01,team_01_B,B,Control Tour,95,119.96,96,24.96,24.96,0.2628,0.2081
1,Team 01,team_01_C,C,Club Prestige,0,0.0,0,0.0,0.0,0.0,0.0
1,Team 02,team_02_A,A,Momentum Edge,158,118.91,117,-39.09,39.09,-0.2474,0.3287
1,Team 02,team_02_B,B,Rise Power,112,121.28,82,9.28,9.28,0.0828,0.0765
1,Team 02,team_02_C,C,Court Wave,145,110.83,107,-34.17,34.17,-0.2357,0.3084
1,Team 03,team_03_A,A,Vector X,90,126.16,89,36.16,36.16,0.4018,0.2866
1,Team 03,team_03_B,B,Axis Control,110,118.02,109,8.02,8.02,0.0729,0.0679
1,Team 03,team_03_C,C,Baseline Drive,0,0.0,0,0.0,0.0,0.0,0.0
1,Team 04,team_04_A,A,Starter Pop,144,119.89,119,-24.11,24.11,-0.1674,0.2011
1,Team 04,team_04_B,B,Club Value,125,78.04,78,-46.96,46.96,-0.3757,0.6018
1,Team 04,team_04_C,C,Flex Edge,86,115.09,80,29.09,29.09,0.3382,0.2527
1,Team 05,team_05_A,A,Club Control,83,142.94,88,59.94,59.94,0.7222,0.4194
1,Team 05,team_05_B,B,Court Starter,72,82.69,76,10.69,10.69,0.1484,0.1292
1,Team 05,team_05_C,C,Club Spin,52,125.45,55,73.45,73.45,1.4126,0.5855
1,Team 06,team_06_A,A,Elite Spin Pro,132,117.76,111,-14.24,14.24,-0.1079,0.1209
1,Team 06,team_06_B,B,Control Tour,146,126.94,123,-19.06,19.06,-0.1305,0.1501
1,Team 06,team_06_C,C,Club Prestige,0,0.0,0,0.0,0.0,0.0,0.0
2,Team 01,team_01_A,A,Elite Spin Pro,85,144.71,86,59.71,59.71,0.7024,0.4126
2,Team 01,team_01_B,B,Control Tour,95,139.03,96,44.03,44.03,0.4634,0.3167
2,Team 01,team_01_C,C,Club Prestige,0,0.0,0,0.0,0.0,0.0,0.0
2,Team 02,team_02_A,A,Momentum Edge,158,136.98,0,-21.02,21.02,-0.133,0.1534
2,Team 02,team_02_B,B,Rise Power,112,127.9,0,15.9,15.9,0.142,0.1243
2,Team 02,team_02_C,C,Court Wave,145,92.5,0,-52.5,52.5,-0.362,0.5675
2,Team 03,team_03_A,A,Vector X,90,146.69,89,56.69,56.69,0.6299,0.3865
2,Team 03,team_03_B,B,Axis Control,110,148.41,109,38.41,38.41,0.3491,0.2588
2,Team 03,team_03_C,C,Baseline Drive,0,0.0,0,0.0,0.0,0.0,0.0
2,Team 04,team_04_A,A,Starter Pop,144,139.06,139,-4.94,4.94,-0.0343,0.0355
2,Team 04,team_04_B,B,Club Value,125,90.46,90,-34.54,34.54,-0.2763,0.3818
2,Team 04,team_04_C,C,Flex Edge,86,144.0,80,58.0,58.0,0.6744,0.4028
2,Team 05,team_05_A,A,Club Control,83,122.77,88,39.77,39.77,0.4792,0.324
2,Team 05,team_05_B,B,Court Starter,72,97.95,76,25.95,25.95,0.3604,0.2649
2,Team 05,team_05_C,C,Club Spin,52,172.87,56,120.87,120.87,2.3245,0.6992
2,Team 06,team_06_A,A,Elite Spin Pro,132,148.78,111,16.78,16.78,0.1271,0.1128
2,Team 06,team_06_B,B,Control Tour,146,148.88,123,2.88,2.88,0.0197,0.0193
2,Team 06,team_06_C,C,Club Prestige,0,0.0,0,0.0,0.0,0.0,0.0
3,Team 01,team_01_A,A,Elite Spin Pro,85,182.39,86,97.39,97.39,1.1457,0.534
3,Team 01,team_01_B,B,Control Tour,95,130.89,96,35.89,35.89,0.3777,0.2742
3,Team 01,team_01_C,C,Club Prestige,0,0.0,0,0.0,0.0,0.0,0.0
3,Team 02,team_02_A,A,Momentum Edge,158,176.62,140,18.62,18.62,0.1179,0.1054
3,Team 02,team_02_B,B,Rise Power,112,125.36,99,13.36,13.36,0.1193,0.1066
3,Team 02,team_02_C,C,Court Wave,145,115.2,128,-29.8,29.8,-0.2055,0.2586
3,Team 03,team_03_A,A,Vector X,90,140.88,89,50.88,50.88,0.5653,0.3611
3,Team 03,team_03_B,B,Axis Control,110,185.49,109,75.49,75.49,0.6863,0.407
3,Team 03,team_03_C,C,Baseline Drive,0,0.0,0,0.0,0.0,0.0,0.0
3,Team 04,team_04_A,A,Starter Pop,144,133.44,133,-10.56,10.56,-0.0733,0.0792
3,Team 04,team_04_B,B,Club Value,125,111.48,111,-13.52,13.52,-0.1081,0.1213
3,Team 04,team_04_C,C,Flex Edge,86,173.41,80,87.41,87.41,1.0164,0.5041
3,Team 05,team_05_A,A,Club Control,83,142.6,85,59.6,59.6,0.718,0.4179
3,Team 05,team_05_B,B,Court Starter,72,113.22,73,41.22,41.22,0.5725,0.3641
3,Team 05,team_05_C,C,Club Spin,52,200.58,53,148.58,148.58,2.8572,0.7407
3,Team 06,team_06_A,A,Elite Spin Pro,132,189.93,111,57.93,57.93,0.4388,0.305
3,Team 06,team_06_B,B,Control Tour,146,140.53,123,-5.47,5.47,-0.0374,0.0389
3,Team 06,team_06_C,C,Club Prestige,0,0.0,0,0.0,0.0,0.0,0.0
4,Team 01,team_01_A,A,Elite Spin Pro,85,192.53,86,107.53,107.53,1.2651,0.5585
