round_number,team_name,archetype,active_product_count,active_project_count,launch_ready_project_count,launched_project_count,retired_product_count,total_forecast_units,total_actual_demand_units,forecast_error_units,absolute_forecast_error_units,forecast_wape,service_gap_units,weighted_average_selling_price,planned_production_units,actual_production_units,effective_capacity_units,utilization_pct,weighted_material_unit_cost,defect_rate,good_units_produced,demand_allocated,sales_units,lost_sales_units,backlog_units_end,ending_inventory,ending_raw_material_inventory,fill_rate,revenue,procurement_cost,production_cost,holding_cost,warranty_cost,backlog_cost,expansion_cost,innovation_investment,interest_expense,working_capital_requirement,planned_borrowing_amount,automatic_borrowing_amount,ending_cash_balance,short_term_debt_balance,liquidity_stress_flag,total_cost,profit,contribution_margin_per_unit,reputation_after_round,average_portfolio_tech_generation,cannibalized_demand_units,beginning_finished_goods_inventory,beginning_raw_material_inventory,raw_material_units_received,raw_material_units_consumed,raw_material_order_qty,backlog_units_start,launch_events_text,notes
1,Team 01,Premium Quality,2,1,0,0,0,180,236.0,56.0,56.0,0.2373,53,187.87,184,184,270,68.15,43.46,0.005,182,236.0,182,39,14,0,76,0.7712,34192.8,7996.64,10241.27,152.0,40.95,140.0,936.0,3000.0,0.0,3302.96,0.0,0.0,37269.94,0.0,False,22506.86,11685.94,87.44,63.72,2.0,0.0,0,260,0,184,184,0,,Portfolio forecast WAPE was 23.73% against realized demand. Lost 39 sales units across the portfolio. Carried 14 backlog units into next round.
1,Team 02,Sponsorship Growth,3,1,0,0,0,415,351.02,-63.98,82.54,0.2351,43,123.1,384,320,358,89.39,32.01,0.0387,306,351.02,306,0,43,0,0,0.8717,37669.28,15236.76,16139.34,0.0,533.29,430.0,2088.0,1500.0,77.0,525.0,3500.0,0.0,34348.89,3500.0,False,36004.39,1664.89,18.82,59.8,2.0,0.0,0,320,0,320,476,0,,"Portfolio forecast WAPE was 23.51% against realized demand. Carried 43 backlog units into next round. Used $3,500.00 of planned borrowing."
1,Team 03,Engineering Challenger,2,1,0,0,0,200,244.18,44.18,44.18,0.1809,46,164.73,200,200,307,65.15,36.65,0.005,198,244.18,198,22,24,0,90,0.8109,32617.0,7916.4,10466.7,180.0,44.55,240.0,864.0,2500.0,22.0,3448.5,1000.0,0.0,38527.35,1000.0,False,22233.65,10383.35,71.66,57.54,2.0,0.0,0,290,0,200,216,0,,"Portfolio forecast WAPE was 18.09% against realized demand. Lost 22 sales units across the portfolio. Carried 24 backlog units into next round. Used $1,000.00 of planned borrowing."
1,Team 04,Low-Cost Volume,3,1,0,0,0,355,313.02,-41.98,100.16,0.32,35,106.12,348,348,441,78.91,28.95,0.0436,332,313.02,277,0,35,55,72,0.8849,29394.75,9582.45,13167.63,474.0,548.95,350.0,936.0,9000.0,154.0,6807.74,7000.0,0.0,31413.72,7000.0,False,34213.03,-4818.28,22.01,45.45,1.33,14.35,0,420,0,348,331,0,,"Portfolio forecast WAPE was 32.00% against realized demand. Carried 35 backlog units into next round. Used $7,000.00 of planned borrowing."
1,Team 05,Community / Club,3,1,0,0,0,207,351.08,144.08,144.08,0.4104,130,127.61,225,225,303,74.26,29.89,0.0206,219,351.08,219,118,12,0,75,0.6238,27945.96,5499.76,8939.91,150.0,202.67,120.0,0.0,750.0,0.0,2241.75,0.0,0.0,35323.62,0.0,False,15662.34,12283.62,60.75,50.3,1.67,16.16,0,300,0,225,184,0,,Portfolio forecast WAPE was 41.04% against realized demand. Lost 118 sales units across the portfolio. Carried 12 backlog units into next round.
1,Team 06,Premium Quality,2,1,0,0,0,278,244.7,-33.3,33.3,0.1361,9,167.06,236,236,299,78.93,37.96,0.0056,234,244.7,234,0,9,0,24,0.9563,39093.12,11653.72,13508.2,48.0,58.61,90.0,2232.0,4000.0,220.0,2411.04,10000.0,0.0,42866.59,10000.0,False,31810.53,7282.59,59.28,69.88,2.0,0.0,0,260,0,236,307,0,,"Portfolio forecast WAPE was 13.61% against realized demand. Carried 9 backlog units into next round. Used $10,000.00 of planned borrowing."
2,Team 01,Premium Quality,2,1,0,0,0,180,283.74,103.74,103.74,0.3656,115,187.87,184,184,283,65.02,44.53,0.005,182,283.74,182,101,14,0,76,0.6113,34192.8,8193.52,10457.42,152.0,40.95,140.0,936.0,3000.0,0.0,3384.28,0.0,0.0,48542.85,0.0,False,22919.89,11272.91,85.17,55.66,2.0,0.0,0,76,184,184,184,14,,Portfolio forecast WAPE was 36.56% against realized demand. Lost 101 sales units across the portfolio. Carried 14 backlog units into next round.
2,Team 02,Sponsorship Growth,3,1,0,0,0,415,357.38,-57.62,89.42,0.2502,398,0.0,384,0,387,0.0,32.8,0.1099,0,357.38,0,315,83,0,0,0.0,0.0,15612.8,0.0,0.0,0.0,830.0,2088.0,1500.0,154.0,1050.0,3500.0,0.0,17664.09,7000.0,True,20184.8,-20184.8,0.0,18.43,2.0,7.42,0,0,0,0,476,43,,"Portfolio forecast WAPE was 25.02% against realized demand. Lost 315 sales units across the portfolio. Carried 83 backlog units into next round. Used $3,500.00 of planned borrowing. Liquidity stress flagged this round."
2,Team 03,Engineering Challenger,2,1,0,0,0,200,295.1,95.1,95.1,0.3223,120,164.73,200,200,319,62.7,37.55,0.005,198,295.1,198,96,24,0,106,0.6205,32617.0,8110.8,10694.7,212.0,44.55,240.0,864.0,2500.0,44.0,4280.3,1000.0,0.0,49434.3,2000.0,False,22710.05,9906.95,69.53,50.18,2.0,0.0,0,90,216,200,216,24,,"Portfolio forecast WAPE was 32.23% against realized demand. Lost 96 sales units across the portfolio. Carried 24 backlog units into next round. Used $1,000.00 of planned borrowing."
2,Team 04,Low-Cost Volume,3,1,0,0,0,355,373.52,18.52,97.48,0.261,99,105.17,348,348,454,76.65,29.66,0.0426,332,373.52,309,63,36,78,55,0.7564,32498.55,9817.46,13462.86,578.0,596.16,360.0,936.0,9000.0,308.0,9062.32,7000.0,0.0,35853.79,14000.0,True,35058.48,-2559.93,27.9,37.43,1.33,16.64,55,72,331,348,331,35,,"Portfolio forecast WAPE was 26.10% against realized demand. Lost 63 sales units across the portfolio. Carried 36 backlog units into next round. Used $7,000.00 of planned borrowing. Liquidity stress flagged this round."
2,Team 05,Community / Club,3,1,0,0,0,207,393.59,186.59,186.59,0.4741,183,127.7,225,225,303,74.26,30.62,0.0187,220,393.59,220,171,12,0,34,0.5424,28094.88,5634.08,9140.16,68.0,185.55,120.0,0.0,750.0,0.0,1041.08,0.0,0.0,47520.71,0.0,False,15897.79,12197.09,59.7,37.94,1.67,32.47,0,75,184,225,184,12,,Portfolio forecast WAPE was 47.41% against realized demand. Lost 171 sales units across the portfolio. Carried 12 backlog units into next round.
2,Team 06,Premium Quality,2,1,0,0,0,278,297.66,19.66,19.66,0.066,71,167.06,236,236,330,71.52,38.89,0.005,234,297.66,234,21,50,0,95,0.7631,39093.12,11939.23,13804.32,190.0,52.66,500.0,2232.0,4000.0,440.0,6694.55,10000.0,0.0,58801.5,20000.0,True,33158.21,5934.91,56.82,67.93,2.0,0.0,0,24,307,236,307,9,,"Portfolio forecast WAPE was 6.60% against realized demand. Lost 21 sales units across the portfolio. Carried 50 backlog units into next round. Used $10,000.00 of planned borrowing. Liquidity stress flagged this round."
3,Team 01,Premium Quality,2,1,0,0,0,180,313.28,133.28,133.28,0.4254,144,187.87,184,184,296,62.16,45.59,0.005,182,313.28,182,130,14,0,76,0.5561,34192.8,8388.56,10672.7,152.0,40.95,140.0,936.0,3000.0,0.0,3464.84,0.0,0.0,59405.44,0.0,False,23330.21,10862.59,82.92,45.64,2.0,12.22,0,76,184,184,184,14,,Portfolio forecast WAPE was 42.54% against realized demand. Lost 130 sales units across the portfolio. Carried 14 backlog units into next round.
3,Team 02,Sponsorship Growth,3,1,0,0,0,415,417.18,2.18,61.78,0.1481,132,123.19,384,384,416,92.31,33.58,0.0413,367,417.18,367,49,83,0,92,0.7337,45209.12,15984.08,19915.18,184.0,682.92,830.0,2088.0,1500.0,231.0,4664.36,3500.0,0.0,24958.03,10500.0,False,41415.18,3793.94,23.51,11.56,2.0,16.36,0,0,476,384,476,83,,"Portfolio forecast WAPE was 14.81% against realized demand. Lost 49 sales units across the portfolio. Carried 83 backlog units into next round. Used $3,500.00 of planned borrowing."
3,Team 03,Engineering Challenger,2,1,0,0,0,200,326.37,126.37,126.37,0.3872,151,164.73,200,200,331,60.42,38.44,0.005,198,326.37,198,127,24,0,122,0.5651,32617.0,8303.04,10922.5,244.0,44.55,240.0,864.0,2500.0,66.0,5139.68,1000.0,0.0,59867.21,3000.0,False,23184.09,9432.91,67.41,40.81,2.0,10.6,0,106,216,200,216,24,,"Portfolio forecast WAPE was 38.72% against realized demand. Lost 127 sales units across the portfolio. Carried 24 backlog units into next round. Used $1,000.00 of planned borrowing."
3,Team 04,Low-Cost Volume,3,1,1,0,0,355,418.33,63.33,111.49,0.2665,129,105.24,348,348,467,74.52,30.37,0.046,331,418.33,324,93,36,85,38,0.7131,34098.75,10052.47,13757.7,585.99,670.57,360.0,936.0,9000.0,462.0,10245.87,7000.0,0.0,41127.81,21000.0,True,35824.73,-1725.98,29.69,27.39,1.33,18.17,78,55,331,348,331,36,,"Portfolio forecast WAPE was 26.65% against realized demand. Lost 93 sales units across the portfolio. Carried 36 backlog units into next round. Used $7,000.00 of planned borrowing. Liquidity stress flagged this round."
3,Team 05,Community / Club,3,1,0,0,0,207,456.4,249.4,249.4,0.5465,256,127.64,225,218,303,71.95,31.36,0.0232,211,456.4,211,244,12,0,0,0.4505,26932.08,5770.24,9053.42,0.0,220.45,120.0,0.0,750.0,0.0,0.0,0.0,0.0,58538.68,0.0,False,15914.11,11017.97,56.34,21.67,1.67,37.63,0,34,184,218,184,12,,Portfolio forecast WAPE was 54.65% against realized demand. Lost 244 sales units across the portfolio. Carried 12 backlog units into next round.
3,Team 06,Premium Quality,2,1,0,0,0,278,330.46,52.46,63.4,0.1919,145,167.06,236,236,361,65.37,39.82,0.0064,234,330.46,234,95,50,0,166,0.615,39093.12,12224.74,14101.56,332.0,67.54,500.0,2232.0,4000.0,660.0,11110.12,10000.0,0.0,73776.78,30000.0,True,34117.84,4975.28,54.27,60.19,2.0,13.12,0,95,307,236,307,50,,"Portfolio forecast WAPE was 19.19% against realized demand. Lost 95 sales units across the portfolio. Carried 50 backlog units into next round. Used $10,000.00 of planned borrowing. Liquidity stress flagged this round."
4,Team 01,Premium Quality,2,1,0,0,0,180,353.45,173.45,173.45,0.4907,184,187.87,184,184,309,59.55,46.66,0.005,182,353.45,182,170,14,0,76,0.4953,34192.8,8585.44,10887.98,152.0,40.95,140.0,936.0,3000.0,0.0,3546.16,0.0,0.0,69855.87,0.0,False,23742.37,10450.43,80.65,33.44,2.0,8.69,0,76,184,184,184,14,,Portfolio forecast WAPE was 49.07% against realized demand. Lost 170 sales units across the portfolio. Carried 14 backlog units into next round.
4,Team 02,Sponsorship Growth,3,1,0,0,0,415,493.14,78.14,78.14,0.1585,206,123.29,384,384,445,86.29,34.37,0.0341,369,493.14,369,123,83,0,184,0.6405,45494.24,16360.12,20356.06,368.01,566.34,830.0,2088.0,1500.0,308.0,8424.08,3500.0,0.0,31575.74,14000.0,False,42376.53,3117.71,22.25,2.06,2.0,13.93,0,92,476,384,476,83,,"Portfolio forecast WAPE was 15.85% against realized demand. Lost 123 sales units across the portfolio. Carried 83 backlog units into next round. Used $3,500.00 of planned borrowing."
4,Team 03,Engineering Challenger,2,1,0,0,0,200,367.71,167.71,167.71,0.4561,271,164.75,200,122,343,35.57,39.34,0.005,120,367.71,120,247,24,0,0,0.3063,19770.0,8497.44,7019.45,0.0,27.0,240.0,864.0,2500.0,88.0,600.0,1000.0,0.0,61401.32,4000.0,False,19235.89,534.11,35.22,22.26,2.0,7.87,0,122,0,122,216,24,,"Portfolio forecast WAPE was 45.61% against realized demand. Lost 247 sales units across the portfolio. Carried 24 backlog units into next round. Used $1,000.00 of planned borrowing."
4,Team 04,Low-Cost Volume,3,0,0,1,2,345,502.61,157.61,176.61,0.3514,171,104.75,338,338,480,70.42,31.08,0.0453,322,502.61,330,137,34,0,31,0.6566,38133.59,9976.68,13671.91,62.0,671.97,340.0,936.0,0,616.0,5163.48,7000.0,0.0,59986.84,28000.0,True,26274.56,11859.03,31.05,15.31,1.67,33.52,85,38,331,338,321,0,"Launched Team 04 NextGen into slot C, replacing Flex Edge","Launched Team 04 NextGen into slot C, replacing Flex Edge Portfolio forecast WAPE was 35.14% against realized demand. Lost 137 sales units across the portfolio. Carried 34 backlog units into next round. Generated $3,565.49 from retirement liquidation. Used $7,000.00 of planned borrowing. Liquidity stress flagged this round."
4,Team 05,Community / Club,3,1,0,0,0,201,429.72,228.72,228.72,0.5323,441,0.0,219,0,303,0.0,32.09,0.0566,0,429.72,0,429,12,0,0,0.0,0.0,5776.2,0.0,0.0,0.0,120.0,0.0,750.0,0.0,0.0,0.0,0.0,51892.48,0.0,False,6646.2,-6646.2,0.0,0.0,1.67,23.87,0,0,0,0,180,12,,Portfolio forecast WAPE was 53.23% against realized demand. Lost 429 sales units across the portfolio. Carried 12 backlog units into next round.
4,Team 06,Premium Quality,2,1,0,0,0,278,376.37,98.37,98.37,0.2614,262,167.11,236,166,392,42.35,40.75,0.005,164,376.37,164,212,50,0,0,0.3846,27406.08,12510.25,10527.69,0.0,36.9,500.0,2232.0,4000.0,880.0,6000.0,10000.0,0.0,80496.02,40000.0,True,30686.84,-3280.76,26.41,44.33,2.0,9.4,0,166,0,166,307,50,,"Portfolio forecast WAPE was 26.14% against realized demand. Lost 212 sales units across the portfolio. Carried 50 backlog units into next round. Used $10,000.00 of planned borrowing. Liquidity stress flagged this round."
5,Team 01,Premium Quality,2,1,0,0,0,180,415.84,235.84,235.84,0.5671,247,187.87,184,184,322,57.14,47.72,0.005,182,415.84,182,233,14,0,76,0.4234,34192.8,8780.48,11102.29,152.0,40.95,140.0,936.0,3000.0,0.0,3626.72,0.0,0.0,79896.95,0.0,False,24151.72,10041.08,78.4,18.61,2.0,10.22,0,76,184,184,184,14,,Portfolio forecast WAPE was 56.71% against realized demand. Lost 233 sales units across the portfolio. Carried 14 backlog units into next round.
5,Team 02,Sponsorship Growth,3,1,0,0,0,403,548.9,145.9,145.9,0.2658,455,124.14,373,184,474,38.82,35.15,0.035,176,548.9,176,374,81,0,0,0.2785,21848.64,16274.45,10942.66,0.0,276.99,810.0,2088.0,1500.0,385.0,2625.0,3500.0,0.0,24647.28,17500.0,True,32277.1,-10428.46,-32.08,0.0,2.0,14.92,0,184,0,184,463,83,,"Portfolio forecast WAPE was 26.58% against realized demand. Lost 374 sales units across the portfolio. Carried 81 backlog units into next round. Used $3,500.00 of planned borrowing. Liquidity stress flagged this round."
5,Team 03,Engineering Challenger,2,1,0,0,0,200,427.35,227.35,227.35,0.532,252,164.73,200,200,355,56.34,40.24,0.005,198,427.35,198,228,24,0,232,0.4387,32617.0,8691.84,11376.3,464.0,44.55,240.0,864.0,2500.0,110.0,10085.68,1000.0,0.0,70727.63,5000.0,False,24290.69,8326.31,63.15,8.26,2.0,9.14,0,0,432,200,216,24,,"Portfolio forecast WAPE was 53.20% against realized demand. Lost 228 sales units across the portfolio. Carried 24 backlog units into next round. Used $1,000.00 of planned borrowing."
5,Team 04,Low-Cost Volume,2,1,0,0,0,230,431.88,201.88,201.88,0.4674,249,106.34,225,225,493,45.64,31.79,0.0426,215,431.88,215,226,23,0,127,0.4615,22863.75,6803.06,9297.39,254.0,412.63,230.0,936.0,0.0,770.0,9287.33,7000.0,0.0,71147.51,35000.0,True,18703.08,4160.67,29.54,0.0,1.67,14.12,0,31,321,225,214,34,,"Portfolio forecast WAPE was 46.74% against realized demand. Lost 226 sales units across the portfolio. Carried 23 backlog units into next round. Used $7,000.00 of planned borrowing. Liquidity stress flagged this round."
5,Team 05,Community / Club,3,1,0,0,0,194,519.81,325.81,325.81,0.6268,324,128.16,212,212,303,69.97,32.82,0.0203,207,519.81,207,312,12,0,152,0.3892,26528.16,5710.68,9190.71,304.01,189.33,120.0,0.0,750.0,0.0,4988.64,0.0,0.0,62155.91,0.0,False,16264.73,10263.43,55.25,0.0,1.67,28.16,0,0,364,212,174,12,,Portfolio forecast WAPE was 62.68% against realized demand. Lost 312 sales units across the portfolio. Carried 12 backlog units into next round.
5,Team 06,Premium Quality,2,1,0,0,0,278,440.22,162.22,162.22,0.3685,255,167.06,236,236,423,55.79,41.68,0.005,234,440.22,234,205,50,0,378,0.4773,39093.12,12795.76,14694.92,756.0,52.66,500.0,2232.0,4000.0,1100.0,23255.04,10000.0,0.0,93457.8,50000.0,True,36131.34,2961.78,49.36,31.55,2.0,11.0,0,0,614,236,307,50,,"Portfolio forecast WAPE was 36.85% against realized demand. Lost 205 sales units across the portfolio. Carried 50 backlog units into next round. Used $10,000.00 of planned borrowing. Liquidity stress flagged this round."
6,Team 01,Premium Quality,2,1,0,0,1,172,426.92,254.92,254.92,0.5971,266,188.76,176,176,335,52.54,48.79,0.005,174,426.92,174,257,9,0,84,0.3946,32844.96,8587.04,10847.97,168.0,39.15,90.0,936.0,3000.0,0.0,4098.36,0.0,0.0,89073.75,0.0,False,23668.16,9176.8,76.84,2.62,2.0,9.5,0,76,184,176,176,14,,Portfolio forecast WAPE was 59.71% against realized demand. Lost 257 sales units across the portfolio. Carried 9 backlog units into next round.
6,Team 02,Sponsorship Growth,3,1,0,0,0,394,599.0,205.0,205.0,0.3422,330,123.42,364,364,503,72.37,35.94,0.0412,348,599.0,348,251,79,0,588,0.5118,42949.28,16208.94,20238.54,1175.99,645.48,790.0,2088.0,1500.0,462.0,24282.72,3500.0,0.0,27987.61,21000.0,True,43108.95,-159.67,16.83,0.0,2.0,15.72,0,0,952,364,451,81,,"Portfolio forecast WAPE was 34.22% against realized demand. Lost 251 sales units across the portfolio. Carried 79 backlog units into next round. Used $3,500.00 of planned borrowing. Liquidity stress flagged this round."
6,Team 03,Engineering Challenger,2,1,0,0,0,193,438.76,245.76,245.76,0.5601,270,164.03,193,193,367,52.59,41.14,0.005,191,438.76,191,247,23,0,255,0.4127,31329.0,8557.12,11212.32,510.0,42.98,230.0,864.0,2500.0,132.0,11390.7,1000.0,0.0,79008.21,6000.0,True,24048.42,7280.58,60.3,0.0,2.0,8.32,0,232,216,193,208,24,,"Portfolio forecast WAPE was 56.01% against realized demand. Lost 247 sales units across the portfolio. Carried 23 backlog units into next round. Used $1,000.00 of planned borrowing. Liquidity stress flagged this round."
6,Team 04,Low-Cost Volume,2,1,1,0,1,219,509.36,290.36,290.36,0.57,328,107.11,214,214,506,42.29,32.5,0.0471,203,509.36,203,310,18,0,127,0.3813,21742.35,6597.5,9053.98,254.0,429.74,180.0,936.0,9000.0,924.0,10427.5,7000.0,0.0,72514.64,42000.0,True,27375.22,-5632.87,27.89,0.0,1.67,13.95,0,127,214,214,203,23,,"Portfolio forecast WAPE was 57.00% against realized demand. Lost 310 sales units across the portfolio. Carried 18 backlog units into next round. Used $7,000.00 of planned borrowing. Liquidity stress flagged this round."
6,Team 05,Community / Club,3,1,0,0,0,194,623.32,429.32,429.32,0.6888,430,128.14,212,212,303,69.97,33.56,0.0248,204,623.32,204,418,12,0,114,0.3211,26140.56,5839.44,9379.96,227.99,227.64,120.0,0.0,750.0,0.0,3825.84,0.0,0.0,71751.44,0.0,False,16545.03,9595.53,52.42,0.0,1.67,34.44,0,152,174,212,174,12,,Portfolio forecast WAPE was 68.88% against realized demand. Lost 418 sales units across the portfolio. Carried 12 backlog units into next round.
6,Team 06,Premium Quality,2,1,0,0,0,267,447.63,180.63,180.63,0.4035,274,167.92,226,226,454,49.78,42.61,0.007,223,447.63,223,226,48,0,459,0.4481,37445.76,12527.34,14422.84,918.0,69.78,480.0,2232.0,4000.0,1320.0,28557.99,10000.0,0.0,104933.6,60000.0,True,35969.96,1475.8,46.75,17.4,2.0,9.96,0,378,307,226,294,50,,"Portfolio forecast WAPE was 40.35% against realized demand. Lost 226 sales units across the portfolio. Carried 48 backlog units into next round. Used $10,000.00 of planned borrowing. Liquidity stress flagged this round."
7,Team 01,Premium Quality,1,1,0,0,1,78,259.73,181.73,181.73,0.6997,189,209.52,80,80,348,22.99,49.85,0.005,79,259.73,79,189,0,0,180,0.294,16552.08,3988.0,5102.4,360.0,17.78,0.0,936.0,3000.0,0.0,8973.0,0.0,0.0,92221.65,0.0,False,13404.18,3147.9,94.23,0.0,2.0,0.0,0,84,176,80,80,9,,Portfolio forecast WAPE was 69.97% against realized demand. Lost 189 sales units across the portfolio.
7,Team 02,Sponsorship Growth,3,1,0,0,0,382,764.37,382.37,382.37,0.5002,504,123.27,353,353,532,66.35,36.72,0.0371,338,764.37,338,428,76,0,698,0.4008,41664.48,16083.36,20091.42,1395.99,564.33,760.0,2088.0,1500.0,539.0,29305.56,3500.0,0.0,30129.99,24500.0,True,43022.1,-1357.62,14.57,0.0,2.0,21.8,0,588,463,353,438,79,,"Portfolio forecast WAPE was 50.02% against realized demand. Lost 428 sales units across the portfolio. Carried 76 backlog units into next round. Used $3,500.00 of planned borrowing. Liquidity stress flagged this round."
7,Team 03,Engineering Challenger,2,1,0,0,0,184,522.79,338.79,338.79,0.648,362,164.77,184,184,379,48.55,42.04,0.005,182,522.79,182,340,22,0,71,0.3335,29988.0,8365.96,10932.42,142.0,40.95,220.0,864.0,2500.0,154.0,4034.84,1000.0,0.0,86776.88,7000.0,False,23219.33,6768.67,58.51,0.0,2.0,11.22,0,255,0,184,199,23,,"Portfolio forecast WAPE was 64.80% against realized demand. Lost 340 sales units across the portfolio. Carried 22 backlog units into next round. Used $1,000.00 of planned borrowing."
7,Team 04,Low-Cost Volume,1,0,0,1,1,86,434.22,348.22,348.22,0.8019,355,128.1,84,84,519,16.18,33.21,0.0533,79,434.22,79,346,9,0,246,0.1819,10119.9,2656.8,3720.36,492.0,189.56,90.0,936.0,0,1078.0,15519.66,7000.0,0.0,80471.82,49000.0,True,9162.72,957.18,44.98,0.0,1.67,0.0,0,127,203,84,80,0,"Launched Team 04 NextGen into slot C, replacing Team 04 NextGen","Launched Team 04 NextGen into slot C, replacing Team 04 NextGen Portfolio forecast WAPE was 80.19% against realized demand. Lost 346 sales units across the portfolio. Carried 9 backlog units into next round. Used $7,000.00 of planned borrowing. Liquidity stress flagged this round."
7,Team 05,Community / Club,3,1,0,0,0,191,790.52,599.52,599.52,0.7584,690,127.77,208,114,303,37.62,34.29,0.0212,111,790.52,111,679,11,0,0,0.1383,14182.08,5863.59,5204.15,0.0,106.04,110.0,0.0,750.0,0.0,0.0,0.0,0.0,73899.74,0.0,False,12033.78,2148.3,27.1,0.0,1.67,47.58,0,114,0,114,171,12,,Portfolio forecast WAPE was 75.84% against realized demand. Lost 679 sales units across the portfolio. Carried 11 backlog units into next round.
7,Team 06,Premium Quality,2,1,0,0,0,257,534.38,277.38,277.38,0.5191,367,167.07,217,217,485,44.74,43.54,0.005,215,534.38,215,321,46,0,242,0.3692,35919.36,12278.28,14174.44,484.0,48.38,460.0,2232.0,4000.0,1540.0,21036.68,10000.0,0.0,115635.86,70000.0,True,35217.1,702.26,43.81,0.5,2.0,13.29,0,459,0,217,282,48,,"Portfolio forecast WAPE was 51.91% against realized demand. Lost 321 sales units across the portfolio. Carried 46 backlog units into next round. Used $10,000.00 of planned borrowing. Liquidity stress flagged this round."
8,Team 01,Premium Quality,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,361,0.0,50.92,0.0,0,0.0,0,0,0,0,260,1.0,0.0,0.0,0.0,0.0,0.0,0.0,936.0,3000.0,0.0,13239.2,0.0,0.0,88285.65,0.0,False,3936.0,-3936.0,0.0,5.49,2.0,0.0,0,180,80,0,0,0,,Portfolio forecast WAPE was 0.00% against realized demand.
8,Team 02,Sponsorship Growth,3,1,0,0,0,382,908.65,526.65,526.65,0.5796,645,123.27,353,353,561,62.92,37.5,0.0371,338,908.65,338,569,76,0,345,0.3433,41664.48,16425.0,20502.4,689.99,564.33,760.0,2088.0,1500.0,616.0,17137.5,3500.0,0.0,32148.75,28000.0,True,43145.72,-1481.24,12.35,0.0,2.0,25.95,0,698,0,353,438,76,,"Portfolio forecast WAPE was 57.96% against realized demand. Lost 569 sales units across the portfolio. Carried 76 backlog units into next round. Used $3,500.00 of planned borrowing. Liquidity stress flagged this round."
