market_scenario,market_label,rank,team_name,archetype,strategy_key,strategy_label,profit,revenue,total_cost,sales_units,fill_rate,forecast_wape,ending_cash_balance,short_term_debt_balance,liquidity_stress_flag,reputation_after_round,balanced_score
baseline,Baseline market,1,Team 05,Community / Club,cash_conservative,Cash conservative,7701.04,25544.88,17843.84,200,0.4579,0.5514,109330.8,0.0,False,0.0,80.0
baseline,Baseline market,2,Team 03,Engineering Challenger,balanced_sop,Balanced S&OP,4459.78,29988.0,25528.22,182,0.5793,0.3702,121154.89,12000.0,True,0.72,72.0
baseline,Baseline market,3,Team 01,Premium Quality,premium_quality,Premium quality,-607.28,5365.44,5972.72,36,0.1686,0.8314,78688.36,0.0,False,18.48,36.0
baseline,Baseline market,4,Team 06,Premium Quality,aggressive_growth,Aggressive growth,-4593.44,41863.68,46457.12,260,0.4363,0.4278,162698.12,120000.0,True,22.02,36.0
baseline,Baseline market,5,Team 02,Sponsorship Growth,low_cost_volume,Low-cost volume,-5999.67,41536.0,47535.67,337,0.6883,0.0764,32745.99,42000.0,True,0.0,40.0
baseline,Baseline market,6,Team 04,Low-Cost Volume,innovation_leap,Innovation leap,-9155.75,10248.0,19403.75,80,0.3225,0.6402,75796.03,84000.0,True,0.0,4.0
demand_boom,Demand boom,1,Team 05,Community / Club,cash_conservative,Cash conservative,7452.93,25544.88,18091.95,200,0.207,0.8,107207.03,0.0,False,0.0,76.0
demand_boom,Demand boom,2,Team 03,Engineering Challenger,balanced_sop,Balanced S&OP,4148.23,29988.0,25839.77,182,0.2767,0.7105,117326.9,12000.0,True,0.0,72.0
demand_boom,Demand boom,3,Team 01,Premium Quality,premium_quality,Premium quality,-675.36,5365.44,6040.8,36,0.0826,0.9174,78802.29,0.0,False,0.0,36.0
demand_boom,Demand boom,4,Team 06,Premium Quality,aggressive_growth,Aggressive growth,-5122.45,41863.68,46986.13,260,0.222,0.7202,160015.08,120000.0,True,0.0,40.0
demand_boom,Demand boom,5,Team 02,Sponsorship Growth,low_cost_volume,Low-cost volume,-6597.49,41536.0,48133.49,337,0.3364,0.5874,27050.8,42000.0,True,0.0,40.0
demand_boom,Demand boom,6,Team 04,Low-Cost Volume,innovation_leap,Innovation leap,-9260.15,10248.0,19508.15,80,0.1447,0.8418,98768.74,84000.0,True,0.0,4.0
volume_surge,Volume surge,1,Team 05,Community / Club,cash_conservative,Cash conservative,5426.33,21220.08,15793.75,166,0.1362,0.8419,120618.63,0.0,False,0.0,76.0
volume_surge,Volume surge,2,Team 03,Engineering Challenger,balanced_sop,Balanced S&OP,4615.78,29988.0,25372.22,182,0.2307,0.7601,130063.17,12000.0,True,0.0,72.0
volume_surge,Volume surge,3,Team 01,Premium Quality,premium_quality,Premium quality,-604.55,5365.44,5969.99,36,0.0686,0.9314,80977.0,0.0,False,0.0,36.0
volume_surge,Volume surge,4,Team 06,Premium Quality,aggressive_growth,Aggressive growth,-4274.37,42013.44,46287.81,261,0.1858,0.7687,173114.2,120000.0,True,0.0,40.0
volume_surge,Volume surge,5,Team 02,Sponsorship Growth,low_cost_volume,Low-cost volume,-5413.04,41664.48,47077.52,338,0.2735,0.6707,48052.49,42000.0,True,0.0,40.0
volume_surge,Volume surge,6,Team 04,Low-Cost Volume,innovation_leap,Innovation leap,-9140.88,10248.0,19388.88,80,0.117,0.8726,107108.72,84000.0,True,0.0,4.0
supply_shock,Supply shock,1,Team 05,Community / Club,cash_conservative,Cash conservative,3387.76,21220.08,17832.32,166,0.4078,0.5177,80760.38,0.0,False,0.0,76.0
supply_shock,Supply shock,2,Team 03,Engineering Challenger,balanced_sop,Balanced S&OP,1993.66,29988.0,27994.34,182,0.6198,0.3226,85608.15,12000.0,True,5.02,72.0
supply_shock,Supply shock,3,Team 01,Premium Quality,premium_quality,Premium quality,-1220.0,5365.44,6585.44,36,0.1823,0.8177,57649.58,0.0,False,19.85,36.0
