round_number,team_name,product_id,product_name,slot_name,target_segment,lifecycle_stage,age_in_rounds,tech_generation,cannibalization_group,selling_price_per_unit,forecast_units,planned_production_units,actual_production_units,defect_rate,good_units_produced,demand_allocated,actual_demand_units,sales_units,lost_sales_units,ending_inventory,fill_rate,forecast_error_units,absolute_error_units,forecast_bias_pct,mape_or_wape_value,revenue,production_cost,holding_cost,warranty_cost,allocated_procurement_cost,allocated_backlog_cost,allocated_expansion_cost,contribution_margin_per_unit,profit_contribution,beginning_inventory,backlog_units_start,backlog_units_end,tech_gap_to_market,tech_attractiveness_adjustment,cannibalization_in_units,cannibalization_out_units,launched_this_round,launch_event,retired_this_round,retirement_liquidation_revenue,notes
1,Team 01,team_01_A,Elite Spin Pro,A,premium,launch,1,3,tour,209.52,85,87,87,0.005,86,79.04,79.04,79,0,7,0.9995,-5.96,5.96,-0.0701,0.0754,16552.08,5573.22,113.87,17.78,4374.36,0.0,442.57,95.18,4555.18,0,0,0,1,1.062,0.0,0.0,False,,False,0.0,
1,Team 01,team_01_B,Control Tour,B,mid,growth,2,2,tour,168.48,95,97,97,0.005,96,81.71,81.71,81,0,15,0.9913,-13.29,13.29,-0.1399,0.1626,13646.88,6046.98,170.13,18.23,4877.16,0.0,493.43,55.86,516.05,0,0,0,0,1.0,0.0,0.0,False,,False,0.0,
1,Team 01,team_01_C,Club Prestige,C,mid,maturity,4,1,club,149.04,0,0,0,0.0,0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.82,0.0,0,0,0,-1,0.912,0.0,0.0,False,,False,0.0,
1,Team 02,team_02_A,Momentum Edge,A,mid,launch,1,2,power,128.48,158,146,122,0.0432,116,78.81,78.81,78,0,38,0.9898,-79.19,79.19,-0.5012,1.0049,10021.44,7002.8,228.0,151.61,6720.02,0.0,796.05,34.05,-5377.64,0,0,0,0,1.0,0.0,0.0,False,,False,0.0,Production capped from 146 to 122 by shared capacity or materials.
1,Team 02,team_02_B,Rise Power,B,premium,growth,2,3,power,156.64,112,104,86,0.0428,82,81.27,81.27,81,0,1,0.9967,-30.73,30.73,-0.2744,0.3782,12687.84,5172.9,6.0,156.15,4737.06,0.0,561.15,59.46,1538.36,0,0,0,1,1.062,0.0,0.0,False,,False,0.0,Production capped from 104 to 86 by shared capacity or materials.
1,Team 02,team_02_C,Court Wave,C,beginner,growth,3,1,entry,91.52,145,134,112,0.0461,106,76.07,76.07,76,0,30,0.9991,-68.93,68.93,-0.4754,0.9062,6955.52,6370.56,180.0,157.69,6169.2,0.0,730.8,-2.39,-7135.91,0,0,0,-1,0.968,0.0,0.0,False,,False,0.0,Production capped from 134 to 112 by shared capacity or materials.
1,Team 03,team_03_A,Vector X,A,premium,growth,2,3,engineered,184.0,90,90,90,0.005,89,85.93,85.93,85,0,4,0.9892,-4.07,4.07,-0.0453,0.0474,15640.0,5469.3,105.0,19.12,4121.28,0.0,388.8,80.83,4235.39,0,0,0,1,1.062,0.0,0.0,False,,False,0.0,
1,Team 03,team_03_B,Axis Control,B,mid,launch,1,2,engineered,149.0,110,110,110,0.0077,109,79.17,79.17,79,0,30,0.9978,-30.83,30.83,-0.2802,0.3893,11771.0,6452.6,279.0,27.35,5037.12,0.0,475.2,47.94,-1699.16,0,0,0,0,1.0,0.0,0.0,False,,False,0.0,
1,Team 03,team_03_C,Baseline Drive,C,beginner,maturity,5,1,entry,112.0,0,0,0,0.0,0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.38,0.0,0,0,0,-1,0.968,0.0,0.0,False,,False,0.0,
1,Team 04,team_04_A,Starter Pop,A,beginner,growth,2,1,entry,93.45,144,141,141,0.0484,134,82.76,82.76,82,0,52,0.9908,-61.24,61.24,-0.4253,0.7399,7662.9,6006.6,370.34,178.52,4492.75,0.0,379.24,17.35,-7260.24,0,0,0,-1,0.968,7.94,0.0,False,,False,0.0,
1,Team 04,team_04_B,Club Value,B,beginner,maturity,4,1,entry,102.9,125,123,123,0.0445,117,53.62,53.62,53,0,64,0.9884,-71.38,71.38,-0.571,1.3312,5453.7,5300.07,434.9,106.08,3919.21,0.0,330.83,26.31,-6902.2,0,0,0,-1,0.968,0.0,9.86,False,,False,0.0,
1,Team 04,team_04_C,Flex Edge,C,mid,launch,1,2,hybrid,128.1,86,84,84,0.0515,79,76.7,76.7,76,0,3,0.9909,-9.3,9.3,-0.1082,0.1213,9735.6,3749.76,52.76,175.97,2676.53,0.0,225.93,49.96,-384.85,0,0,0,0,1.0,1.93,0.0,False,,False,0.0,
1,Team 05,team_05_A,Club Control,A,mid,growth,3,2,club,134.64,83,90,90,0.0241,87,95.16,95.16,87,5,0,0.9142,12.16,12.16,0.1465,0.1278,11713.68,4087.8,60.0,94.23,2545.09,30.0,0.0,54.64,4593.8,0,0,3,0,1.0,5.77,0.0,False,,False,0.0,Lost 5 sales units. Carried 3 backlog units.
1,Team 05,team_05_B,Court Starter,B,beginner,maturity,4,1,club,104.04,72,78,78,0.0268,75,56.48,56.48,56,0,19,0.9914,-15.52,15.52,-0.2155,0.2747,5826.24,3486.6,166.0,67.5,2205.74,0.0,0.0,24.76,-279.31,0,0,0,-1,0.968,0.0,11.04,False,,False,0.0,
1,Team 05,team_05_C,Club Spin,C,mid,launch,1,2,club,148.92,52,57,57,0.0241,55,84.09,84.09,55,20,0,0.6541,32.09,32.09,0.6171,0.3816,8190.6,2650.5,38.0,59.76,1611.89,90.0,0.0,67.84,3472.92,0,0,9,0,1.0,5.27,0.0,False,,False,0.0,Lost 20 sales units. Carried 9 backlog units.
1,Team 06,team_06_A,Elite Spin Pro,A,premium,launch,1,3,tour,186.24,132,112,112,0.011,110,79.89,79.89,79,0,31,0.9889,-52.11,52.11,-0.3948,0.6523,14712.96,7436.8,208.78,39.09,6397.46,0.0,1059.25,75.93,-2362.86,0,0,0,1,1.062,0.0,0.0,False,,False,0.0,
1,Team 06,team_06_B,Control Tour,B,mid,growth,2,2,tour,149.76,146,124,124,0.0079,123,85.3,85.3,85,0,38,0.9964,-60.7,60.7,-0.4157,0.7115,12729.6,7970.72,253.22,30.18,7082.91,0.0,1172.75,41.57,-5845.74,0,0,0,0,1.0,0.0,0.0,False,,False,0.0,
1,Team 06,team_06_C,Club Prestige,C,mid,maturity,4,1,club,132.48,0,0,0,0.0,0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.26,0.0,0,0,0,-1,0.912,0.0,0.0,False,,False,0.0,
2,Team 01,team_01_A,Elite Spin Pro,A,premium,growth,2,3,tour,209.52,85,87,87,0.005,86,90.5,90.5,90,0,3,0.9944,5.5,5.5,0.0647,0.0608,18856.8,5675.01,89.87,20.25,4466.58,0.0,442.57,92.95,6632.11,7,0,0,1,1.062,0.0,0.0,False,,False,0.0,
2,Team 01,team_01_B,Control Tour,B,mid,growth,3,2,tour,168.48,95,97,97,0.005,96,86.91,86.91,86,0,25,0.9896,-8.09,8.09,-0.0852,0.0931,14489.28,6160.47,230.13,19.35,4979.98,0.0,493.43,53.63,1136.33,15,0,0,0,1.0,0.0,0.0,False,,False,0.0,
2,Team 01,team_01_C,Club Prestige,C,mid,maturity,4,1,club,149.04,0,0,0,0.0,0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.69,0.0,0,0,0,-1,0.91,0.0,0.0,False,,False,0.0,
2,Team 02,team_02_A,Momentum Edge,A,mid,growth,2,2,power,128.48,158,146,0,0.0392,0,90.79,90.79,38,25,0,0.4185,-67.21,67.21,-0.4254,0.7402,4882.24,0.0,0.0,67.02,0.0,270.0,0.0,78.11,3957.3,38,0,27,0,1.0,2.34,0.0,False,,False,0.0,Production capped from 146 to 0 by shared capacity or materials. Lost 25 sales units. Carried 27 backlog units.
2,Team 02,team_02_B,Rise Power,B,premium,growth,3,3,power,156.64,112,104,0,0.0428,0,78.39,78.39,1,37,0,0.0128,-33.61,33.61,-0.3001,0.4287,156.64,0.0,0.0,1.93,0.0,400.0,0.0,106.27,-752.9,1,0,40,1,1.062,2.67,0.0,False,,False,0.0,Production capped from 104 to 0 by shared capacity or materials. Lost 37 sales units. Carried 40 backlog units.
2,Team 02,team_02_C,Court Wave,C,beginner,maturity,4,1,entry,91.52,145,134,0,0.0441,0,62.46,62.46,30,16,0,0.4803,-82.54,82.54,-0.5692,1.3214,2745.6,0.0,0.0,59.55,0.0,160.0,0.0,41.15,2121.58,30,0,16,-1,0.967,0.0,5.01,False,,False,0.0,Production capped from 134 to 0 by shared capacity or materials. Lost 16 sales units. Carried 16 backlog units.
2,Team 03,team_03_A,Vector X,A,premium,growth,3,3,engineered,184.0,90,90,40,0.005,39,91.33,91.33,43,29,0,0.4708,1.33,1.33,0.0148,0.0146,7912.0,2647.2,0.0,9.68,4156.8,190.0,384.0,74.52,-726.38,4,0,19,1,1.062,0.0,0.0,False,,False,0.0,Production capped from 90 to 40 by shared capacity or materials. Lost 29 sales units. Carried 19 backlog units.
2,Team 03,team_03_B,Axis Control,B,mid,growth,2,2,engineered,149.0,110,110,50,0.005,49,91.23,91.23,79,7,0,0.866,-18.77,18.77,-0.1707,0.2058,11771.0,3157.5,0.0,17.78,5196.0,50.0,480.0,42.55,1620.42,30,0,5,0,1.0,0.0,0.0,False,,False,0.0,Production capped from 110 to 50 by shared capacity or materials. Lost 7 sales units. Carried 5 backlog units.
2,Team 03,team_03_C,Baseline Drive,C,beginner,maturity,5,1,entry,112.0,0,0,0,0.0,0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.31,0.0,0,0,0,-1,0.967,0.0,0.0,False,,False,0.0,
2,Team 04,team_04_A,Starter Pop,A,beginner,growth,3,1,entry,93.45,144,141,141,0.0484,134,87.14,87.14,87,0,99,0.9984,-56.86,56.86,-0.3949,0.6526,8130.15,6125.04,638.57,189.4,4587.97,0.0,379.24,15.8,-7189.67,52,0,0,-1,0.967,8.35,0.0,False,,False,0.0,
2,Team 04,team_04_B,Club Value,B,beginner,maturity,5,1,entry,102.9,125,123,123,0.0445,117,56.43,56.43,56,0,125,0.9923,-68.57,68.57,-0.5485,1.215,5762.4,5404.62,788.88,112.09,4002.28,0.0,330.83,24.75,-7078.03,64,0,0,-1,0.967,0.0,10.38,False,,False,0.0,
2,Team 04,team_04_C,Flex Edge,C,mid,growth,2,2,hybrid,128.1,86,84,84,0.0475,80,87.11,87.11,83,0,0,0.9528,1.11,1.11,0.013,0.0128,10632.3,3822.0,26.55,177.23,2733.26,40.0,225.93,48.39,208.66,3,0,4,0,1.0,2.03,0.0,False,,False,0.0,Carried 4 backlog units.
2,Team 05,team_05_A,Club Control,A,mid,maturity,4,2,club,134.64,83,90,30,0.0221,29,74.83,74.83,29,44,0,0.3726,-8.17,8.17,-0.0984,0.1092,3904.56,1419.0,0.0,28.8,2598.82,40.0,0.0,52.03,-413.59,0,3,4,0,1.0,3.63,10.69,False,,False,0.0,Production capped from 90 to 30 by shared capacity or materials. Lost 44 sales units. Carried 4 backlog units.
2,Team 05,team_05_B,Court Starter,B,beginner,maturity,5,1,club,104.04,72,78,26,0.0268,25,61.42,61.42,44,16,0,0.7163,-10.58,10.58,-0.1469,0.1722,4577.76,1214.98,0.0,53.04,2252.31,10.0,0.0,22.0,857.39,19,0,1,-1,0.967,0.0,9.36,False,,False,0.0,Production capped from 78 to 26 by shared capacity or materials. Lost 16 sales units. Carried 1 backlog units.
2,Team 05,team_05_C,Club Spin,C,mid,growth,2,2,club,148.92,52,57,19,0.0201,18,106.15,106.15,18,90,0,0.1563,54.15,54.15,1.0414,0.5101,2680.56,930.24,0.0,16.32,1645.92,70.0,0.0,64.65,-310.35,0,9,7,0,1.0,16.43,0.0,False,,False,0.0,Production capped from 57 to 19 by shared capacity or materials. Lost 90 sales units. Carried 7 backlog units.
2,Team 06,team_06_A,Elite Spin Pro,A,premium,growth,2,3,tour,186.24,132,112,11,0.007,10,91.7,91.7,41,22,0,0.4471,-40.3,40.3,-0.3053,0.4394,7635.84,880.77,0.0,12.91,6309.36,280.0,1023.0,61.33,-2882.41,31,0,28,1,1.062,0.0,0.0,False,,False,0.0,Production capped from 112 to 11 by shared capacity or materials. Lost 22 sales units. Carried 28 backlog units.
2,Team 06,team_06_B,Control Tour,B,mid,growth,3,2,tour,149.76,146,124,13,0.0079,12,90.59,90.59,50,18,0,0.5519,-55.41,55.41,-0.3795,0.6117,7488.0,1021.41,0.0,17.75,7456.52,220.0,1209.0,26.35,-4424.47,38,0,22,0,1.0,0.0,0.0,False,,False,0.0,Production capped from 124 to 13 by shared capacity or materials. Lost 18 sales units. Carried 22 backlog units.
2,Team 06,team_06_C,Club Prestige,C,mid,maturity,4,1,club,132.48,0,0,0,0.0,0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.13,0.0,0,0,0,-1,0.91,0.0,0.0,False,,False,0.0,
3,Team 01,team_01_A,Elite Spin Pro,A,premium,growth,3,3,tour,209.52,85,87,87,0.005,86,112.12,112.12,89,9,0,0.7938,27.12,27.12,0.3191,0.2419,18647.28,5776.8,71.87,20.02,4559.67,140.0,442.57,90.71,5889.07,3,0,14,1,1.062,7.51,0.0,False,,False,0.0,Lost 9 sales units. Carried 14 backlog units.
3,Team 01,team_01_B,Control Tour,B,mid,maturity,4,2,tour,168.48,95,97,97,0.005,96,80.39,80.39,80,0,41,0.9952,-14.61,14.61,-0.1538,0.1818,13478.4,6272.99,326.13,18.0,5083.77,0.0,493.43,51.4,31.36,25,0,0,0,1.0,0.0,7.51,False,,False,0.0,
