round_number,team_name,archetype,active_product_count,active_project_count,launch_ready_project_count,launched_project_count,retired_product_count,total_forecast_units,total_actual_demand_units,forecast_error_units,absolute_forecast_error_units,forecast_wape,service_gap_units,weighted_average_selling_price,planned_production_units,actual_production_units,effective_capacity_units,utilization_pct,weighted_material_unit_cost,defect_rate,good_units_produced,demand_allocated,sales_units,lost_sales_units,backlog_units_end,ending_inventory,ending_raw_material_inventory,fill_rate,revenue,procurement_cost,production_cost,holding_cost,warranty_cost,backlog_cost,expansion_cost,innovation_investment,interest_expense,working_capital_requirement,planned_borrowing_amount,automatic_borrowing_amount,ending_cash_balance,short_term_debt_balance,liquidity_stress_flag,total_cost,profit,contribution_margin_per_unit,reputation_after_round,average_portfolio_tech_generation,cannibalized_demand_units,beginning_finished_goods_inventory,beginning_raw_material_inventory,raw_material_units_received,raw_material_units_consumed,raw_material_order_qty,backlog_units_start,launch_events_text,notes
1,Team 01,Premium Quality,2,1,0,0,0,180,160.75,-19.25,19.25,0.1198,0,188.74,184,184,270,68.15,50.28,0.005,182,160.75,160,0,0,22,76,0.9953,30198.96,9251.52,11620.2,284.0,36.01,0.0,936.0,3000.0,0.0,6316.81,0.0,0.0,30655.23,0.0,False,25127.73,5071.23,58.07,70.9,2.0,0.0,0,260,0,184,184,0,,Portfolio forecast WAPE was 11.98% against realized demand.
1,Team 02,Sponsorship Growth,3,1,0,0,0,415,236.15,-178.85,178.85,0.7574,0,126.23,384,320,358,89.39,37.03,0.0441,304,236.15,235,0,0,69,0,0.9951,29664.8,17626.28,18546.26,414.0,465.45,0.0,2088.0,1500.0,77.0,7079.11,3500.0,0.0,21631.81,3500.0,False,40716.99,-11052.19,-29.67,61.76,2.0,0.0,0,320,0,320,476,0,,"Portfolio forecast WAPE was 75.74% against realized demand. Used $3,500.00 of planned borrowing."
1,Team 03,Engineering Challenger,2,1,0,0,0,200,165.1,-34.9,34.9,0.2114,0,167.14,200,200,307,65.15,42.4,0.0065,198,165.1,164,0,0,34,90,0.9933,27411.0,9158.4,11921.9,384.0,46.47,0.0,864.0,2500.0,22.0,7434.32,1000.0,0.0,30658.23,1000.0,False,24896.77,2514.23,38.32,62.67,2.0,0.0,0,290,0,200,216,0,,"Portfolio forecast WAPE was 21.14% against realized demand. Used $1,000.00 of planned borrowing."
1,Team 04,Low-Cost Volume,3,1,0,0,0,355,213.08,-141.92,141.92,0.666,0,108.3,348,348,441,78.91,33.5,0.0478,330,213.08,211,0,0,119,72,0.9902,22852.2,11088.5,15056.43,858.0,460.57,0.0,936.0,9000.0,154.0,12597.11,7000.0,0.0,21530.7,7000.0,False,37553.5,-14701.3,-17.79,47.21,1.33,9.86,0,420,0,348,331,0,,"Portfolio forecast WAPE was 66.60% against realized demand. Used $7,000.00 of planned borrowing."
1,Team 05,Community / Club,3,1,0,0,0,207,235.73,28.73,59.77,0.2536,37,129.95,225,225,303,74.26,34.58,0.025,217,235.73,198,25,12,19,75,0.8399,25730.52,6362.72,10224.9,264.0,221.49,120.0,0.0,750.0,0.0,4113.96,0.0,0.0,30827.41,0.0,False,17943.11,7787.41,45.06,57.39,1.67,11.04,0,300,0,225,184,0,,Portfolio forecast WAPE was 25.36% against realized demand. Lost 25 sales units across the portfolio. Carried 12 backlog units into next round.
1,Team 06,Premium Quality,2,1,0,0,0,278,165.19,-112.81,112.81,0.6829,0,167.33,236,236,299,78.93,43.91,0.0094,233,165.19,164,0,0,69,24,0.9928,27442.56,13480.37,15407.52,462.0,69.27,0.0,2232.0,4000.0,220.0,10088.37,10000.0,0.0,27155.4,10000.0,False,35871.16,-8428.6,-9.24,70.29,2.0,0.0,0,260,0,236,307,0,,"Portfolio forecast WAPE was 68.29% against realized demand. Used $10,000.00 of planned borrowing."
2,Team 01,Premium Quality,2,1,0,0,0,180,177.41,-2.59,13.59,0.0766,0,189.47,184,184,283,65.02,51.34,0.005,182,177.41,176,0,0,28,76,0.9921,33346.08,9446.56,11835.48,320.0,39.6,0.0,936.0,3000.0,0.0,7140.41,0.0,0.0,38423.67,0.0,False,25577.64,7768.44,68.32,75.75,2.0,0.0,22,76,184,184,184,0,,Portfolio forecast WAPE was 7.66% against realized demand.
2,Team 02,Sponsorship Growth,3,1,0,0,0,415,231.64,-183.36,183.36,0.7916,161,112.82,384,0,387,0.0,37.82,0.1261,0,231.64,69,78,83,0,0,0.2979,7784.48,18002.32,0.0,0.0,128.5,830.0,2088.0,1500.0,154.0,1050.0,3500.0,0.0,10213.47,7000.0,True,22702.82,-14918.34,-149.95,30.1,2.0,5.01,69,0,0,0,476,0,,"Portfolio forecast WAPE was 79.16% against realized demand. Lost 78 sales units across the portfolio. Carried 83 backlog units into next round. Used $3,500.00 of planned borrowing. Liquidity stress flagged this round."
2,Team 03,Engineering Challenger,2,1,0,0,0,200,182.56,-17.44,20.1,0.1101,60,161.34,200,90,319,28.21,43.3,0.005,88,182.56,122,36,24,0,0,0.6683,19683.0,9352.8,5804.7,0.0,27.46,240.0,864.0,2500.0,44.0,300.0,1000.0,0.0,32508.27,2000.0,False,18832.96,850.04,36.87,57.67,2.0,0.0,34,90,0,90,216,0,,"Portfolio forecast WAPE was 11.01% against realized demand. Lost 36 sales units across the portfolio. Carried 24 backlog units into next round. Used $1,000.00 of planned borrowing."
2,Team 04,Low-Cost Volume,3,1,0,0,0,355,230.68,-124.32,126.54,0.5486,4,108.52,348,348,454,76.65,34.21,0.0468,331,230.68,226,0,4,224,55,0.9797,24524.85,11323.51,15351.66,1454.0,478.72,40.0,936.0,9000.0,308.0,21526.12,7000.0,0.0,14163.66,14000.0,True,38891.89,-14367.04,-11.63,45.51,1.33,10.38,119,72,331,348,331,0,,"Portfolio forecast WAPE was 54.86% against realized demand. Carried 4 backlog units into next round. Used $7,000.00 of planned borrowing. Liquidity stress flagged this round."
