round_number,team_name,product_id,slot_name,product_name,forecast_units,actual_demand_units,actual_sales_units,forecast_error_units,absolute_error_units,forecast_bias_pct,mape_or_wape_value
1,Team 01,team_01_A,A,Elite Spin Pro,85,94.6,86,9.6,9.6,0.1129,0.1015
1,Team 01,team_01_B,B,Control Tour,95,87.58,87,-7.42,7.42,-0.0782,0.0848
1,Team 01,team_01_C,C,Club Prestige,0,0.0,0,0.0,0.0,0.0,0.0
1,Team 02,team_02_A,A,Momentum Edge,158,84.13,84,-73.87,73.87,-0.4675,0.8781
1,Team 02,team_02_B,B,Rise Power,112,97.43,83,-14.57,14.57,-0.1301,0.1495
1,Team 02,team_02_C,C,Court Wave,145,81.7,81,-63.3,63.3,-0.4365,0.7747
1,Team 03,team_03_A,A,Vector X,90,103.23,89,13.23,13.23,0.147,0.1282
1,Team 03,team_03_B,B,Axis Control,110,84.79,84,-25.21,25.21,-0.2291,0.2973
1,Team 03,team_03_C,C,Baseline Drive,0,0.0,0,0.0,0.0,0.0,0.0
1,Team 04,team_04_A,A,Starter Pop,144,86.35,86,-57.65,57.65,-0.4004,0.6677
1,Team 04,team_04_B,B,Club Value,125,57.13,57,-67.87,67.87,-0.543,1.1881
1,Team 04,team_04_C,C,Flex Edge,86,79.75,79,-6.25,6.25,-0.0726,0.0783
1,Team 05,team_05_A,A,Club Control,83,100.5,88,17.5,17.5,0.2108,0.1741
1,Team 05,team_05_B,B,Court Starter,72,61.52,61,-10.48,10.48,-0.1456,0.1704
1,Team 05,team_05_C,C,Club Spin,52,88.73,55,36.73,36.73,0.7063,0.4139
1,Team 06,team_06_A,A,Elite Spin Pro,132,96.92,96,-35.08,35.08,-0.2657,0.3619
1,Team 06,team_06_B,B,Control Tour,146,91.64,91,-54.36,54.36,-0.3723,0.5932
1,Team 06,team_06_C,C,Club Prestige,0,0.0,0,0.0,0.0,0.0,0.0
2,Team 01,team_01_A,A,Elite Spin Pro,85,112.59,86,27.59,27.59,0.3246,0.2451
2,Team 01,team_01_B,B,Control Tour,95,96.47,96,1.47,1.47,0.0154,0.0152
2,Team 01,team_01_C,C,Club Prestige,0,0.0,0,0.0,0.0,0.0,0.0
2,Team 02,team_02_A,A,Momentum Edge,158,99.52,33,-58.48,58.48,-0.3702,0.5877
