round_number,team_name,product_id,slot_name,product_name,forecast_units,actual_demand_units,actual_sales_units,forecast_error_units,absolute_error_units,forecast_bias_pct,mape_or_wape_value
1,Team 01,team_01_A,A,Elite Spin Pro,85,126.94,86,41.94,41.94,0.4934,0.3304
1,Team 01,team_01_B,B,Control Tour,95,133.88,96,38.88,38.88,0.4093,0.2904
1,Team 01,team_01_C,C,Club Prestige,0,0.0,0,0.0,0.0,0.0,0.0
1,Team 02,team_02_A,A,Momentum Edge,158,135.37,117,-22.63,22.63,-0.1432,0.1672
1,Team 02,team_02_B,B,Rise Power,112,134.12,82,22.12,22.12,0.1975,0.1649
1,Team 02,team_02_C,C,Court Wave,145,131.73,107,-13.27,13.27,-0.0915,0.1007
1,Team 03,team_03_A,A,Vector X,90,137.74,89,47.74,47.74,0.5304,0.3466
1,Team 03,team_03_B,B,Axis Control,110,133.06,109,23.06,23.06,0.2097,0.1733
1,Team 03,team_03_C,C,Baseline Drive,0,0.0,0,0.0,0.0,0.0,0.0
1,Team 04,team_04_A,A,Starter Pop,144,144.36,134,0.36,0.36,0.0025,0.0025
1,Team 04,team_04_B,B,Club Value,125,93.43,93,-31.57,31.57,-0.2525,0.3379
1,Team 04,team_04_C,C,Flex Edge,86,132.83,80,46.83,46.83,0.5446,0.3526
1,Team 05,team_05_A,A,Club Control,83,164.03,88,81.03,81.03,0.9763,0.494
1,Team 05,team_05_B,B,Court Starter,72,98.16,76,26.16,26.16,0.3633,0.2665
1,Team 05,team_05_C,C,Club Spin,52,143.45,55,91.45,91.45,1.7586,0.6375
1,Team 06,team_06_A,A,Elite Spin Pro,132,128.18,111,-3.82,3.82,-0.0289,0.0298
1,Team 06,team_06_B,B,Control Tour,146,142.7,123,-3.3,3.3,-0.0226,0.0231
1,Team 06,team_06_C,C,Club Prestige,0,0.0,0,0.0,0.0,0.0,0.0
2,Team 01,team_01_A,A,Elite Spin Pro,85,161.17,86,76.17,76.17,0.8961,0.4726
2,Team 01,team_01_B,B,Control Tour,95,158.04,96,63.04,63.04,0.6635,0.3989
2,Team 01,team_01_C,C,Club Prestige,0,0.0,0,0.0,0.0,0.0,0.0
2,Team 02,team_02_A,A,Momentum Edge,158,158.64,0,0.64,0.64,0.0041,0.004
2,Team 02,team_02_B,B,Rise Power,112,143.57,0,31.57,31.57,0.2819,0.2199
2,Team 02,team_02_C,C,Court Wave,145,112.25,0,-32.75,32.75,-0.2258,0.2917
2,Team 03,team_03_A,A,Vector X,90,162.99,89,72.99,72.99,0.811,0.4478
2,Team 03,team_03_B,B,Axis Control,110,170.29,109,60.29,60.29,0.5481,0.3541
2,Team 03,team_03_C,C,Baseline Drive,0,0.0,0,0.0,0.0,0.0,0.0
2,Team 04,team_04_A,A,Starter Pop,144,170.87,134,26.87,26.87,0.1866,0.1573
2,Team 04,team_04_B,B,Club Value,125,110.51,110,-14.49,14.49,-0.1159,0.1311
2,Team 04,team_04_C,C,Flex Edge,86,169.47,80,83.47,83.47,0.9706,0.4925
2,Team 05,team_05_A,A,Club Control,83,143.63,88,60.63,60.63,0.7305,0.4221
2,Team 05,team_05_B,B,Court Starter,72,118.54,76,46.54,46.54,0.6465,0.3926
2,Team 05,team_05_C,C,Club Spin,52,201.33,56,149.33,149.33,2.8716,0.7417
2,Team 06,team_06_A,A,Elite Spin Pro,132,165.09,111,33.09,33.09,0.2507,0.2004
2,Team 06,team_06_B,B,Control Tour,146,170.62,123,24.62,24.62,0.1686,0.1443
2,Team 06,team_06_C,C,Club Prestige,0,0.0,0,0.0,0.0,0.0,0.0
3,Team 01,team_01_A,A,Elite Spin Pro,85,204.93,86,119.93,119.93,1.4109,0.5852
3,Team 01,team_01_B,B,Control Tour,95,150.03,96,55.03,55.03,0.5792,0.3668
3,Team 01,team_01_C,C,Club Prestige,0,0.0,0,0.0,0.0,0.0,0.0
3,Team 02,team_02_A,A,Momentum Edge,158,209.0,141,51.0,51.0,0.3228,0.244
3,Team 02,team_02_B,B,Rise Power,112,144.32,100,32.32,32.32,0.2885,0.2239
3,Team 02,team_02_C,C,Court Wave,145,143.1,128,-1.9,1.9,-0.0131,0.0133
3,Team 03,team_03_A,A,Vector X,90,157.68,89,67.68,67.68,0.752,0.4292
3,Team 03,team_03_B,B,Axis Control,110,214.21,109,104.21,104.21,0.9473,0.4865
3,Team 03,team_03_C,C,Baseline Drive,0,0.0,0,0.0,0.0,0.0,0.0
3,Team 04,team_04_A,A,Starter Pop,144,166.16,135,22.16,22.16,0.1539,0.1334
3,Team 04,team_04_B,B,Club Value,125,137.99,137,12.99,12.99,0.1039,0.0941
3,Team 04,team_04_C,C,Flex Edge,86,206.85,80,120.85,120.85,1.4053,0.5842
3,Team 05,team_05_A,A,Club Control,83,169.08,85,86.08,86.08,1.0371,0.5091
3,Team 05,team_05_B,B,Court Starter,72,139.04,74,67.04,67.04,0.9311,0.4822
3,Team 05,team_05_C,C,Club Spin,52,236.72,54,184.72,184.72,3.5522,0.7803
3,Team 06,team_06_A,A,Elite Spin Pro,132,212.1,111,80.1,80.1,0.6068,0.3776
3,Team 06,team_06_B,B,Control Tour,146,161.8,123,15.8,15.8,0.1082,0.0977
3,Team 06,team_06_C,C,Club Prestige,0,0.0,0,0.0,0.0,0.0,0.0
4,Team 01,team_01_A,A,Elite Spin Pro,85,214.19,86,129.19,129.19,1.5199,0.6032
4,Team 01,team_01_B,B,Control Tour,95,183.39,96,88.39,88.39,0.9304,0.482
4,Team 01,team_01_C,C,Club Prestige,0,0.0,0,0.0,0.0,0.0,0.0
4,Team 02,team_02_A,A,Momentum Edge,158,212.87,141,54.87,54.87,0.3473,0.2578
4,Team 02,team_02_B,B,Rise Power,112,182.61,100,70.61,70.61,0.6304,0.3867
4,Team 02,team_02_C,C,Court Wave,145,181.66,128,36.66,36.66,0.2528,0.2018
4,Team 03,team_03_A,A,Vector X,90,198.81,89,108.81,108.81,1.209,0.5473
4,Team 03,team_03_B,B,Axis Control,110,216.42,109,106.42,106.42,0.9674,0.4917
4,Team 03,team_03_C,C,Baseline Drive,0,0.0,0,0.0,0.0,0.0,0.0
4,Team 04,team_04_A,A,Starter Pop,144,193.73,135,49.73,49.73,0.3454,0.2567
4,Team 04,team_04_B,B,Club Value,115,128.47,122,13.47,13.47,0.1171,0.1048
4,Team 04,team_04_C,C,Team 04 NextGen,86,282.3,79,196.3,196.3,2.2825,0.6954
4,Team 05,team_05_A,A,Club Control,83,207.49,74,124.49,124.49,1.4999,0.6
4,Team 05,team_05_B,B,Court Starter,66,138.95,58,72.95,72.95,1.1053,0.525
4,Team 05,team_05_C,C,Club Spin,52,227.0,47,175.0,175.0,3.3655,0.7709
