round_number,team_name,product_id,product_name,slot_name,target_segment,lifecycle_stage,age_in_rounds,tech_generation,cannibalization_group,selling_price_per_unit,forecast_units,planned_production_units,actual_production_units,defect_rate,good_units_produced,demand_allocated,actual_demand_units,sales_units,lost_sales_units,ending_inventory,fill_rate,forecast_error_units,absolute_error_units,forecast_bias_pct,mape_or_wape_value,revenue,production_cost,holding_cost,warranty_cost,allocated_procurement_cost,allocated_backlog_cost,allocated_expansion_cost,contribution_margin_per_unit,profit_contribution,beginning_inventory,backlog_units_start,backlog_units_end,tech_gap_to_market,tech_attractiveness_adjustment,cannibalization_in_units,cannibalization_out_units,launched_this_round,launch_event,retired_this_round,retirement_liquidation_revenue,notes
1,Team 01,team_01_A,Elite Spin Pro,A,premium,launch,1,3,tour,209.52,85,87,87,0.005,86,126.94,126.94,86,33,0,0.6775,41.94,41.94,0.4934,0.3304,18018.72,4838.07,71.87,19.35,3707.07,70.0,442.57,111.3,7409.72,0,0,7,1,1.054,0.0,0.0,False,,False,0.0,Lost 33 sales units. Carried 7 backlog units.
1,Team 01,team_01_B,Control Tour,B,mid,growth,2,2,tour,168.48,95,97,97,0.005,96,133.88,133.88,96,30,0,0.7171,38.88,38.88,0.4093,0.2904,16174.08,5231.21,80.13,21.6,4133.17,70.0,493.43,71.94,4604.61,0,0,7,0,1.0,0.0,0.0,False,,False,0.0,Lost 30 sales units. Carried 7 backlog units.
1,Team 01,team_01_C,Club Prestige,C,mid,maturity,4,1,club,149.04,0,0,0,0.0,0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.94,0.0,0,0,0,-1,0.92,0.0,0.0,False,,False,0.0,
1,Team 02,team_02_A,Momentum Edge,A,mid,launch,1,2,power,128.48,158,146,122,0.0378,117,135.37,135.37,117,2,0,0.8643,-22.63,22.63,-0.1432,0.1672,15032.16,5985.32,0.0,199.04,5694.69,160.0,796.05,48.04,1690.97,0,0,16,0,1.0,0.0,0.0,False,,False,0.0,Production capped from 146 to 122 by shared capacity or materials. Lost 2 sales units. Carried 16 backlog units.
1,Team 02,team_02_B,Rise Power,B,premium,growth,2,3,power,156.64,112,104,86,0.0374,82,134.12,134.12,82,6,0,0.6114,22.12,22.12,0.1975,0.1649,12844.48,4425.56,0.0,138.19,4014.29,460.0,561.15,73.8,2743.87,0,0,46,1,1.054,0.0,0.0,False,,False,0.0,Production capped from 104 to 86 by shared capacity or materials. Lost 6 sales units. Carried 46 backlog units.
1,Team 02,team_02_C,Court Wave,C,beginner,growth,3,1,entry,91.52,145,134,112,0.0407,107,131.73,131.73,107,3,0,0.8122,-13.27,13.27,-0.0915,0.1007,9792.64,5427.52,0.0,196.06,5227.91,210.0,730.8,11.68,-2492.14,0,0,21,-1,0.972,0.0,0.0,False,,False,0.0,Production capped from 134 to 112 by shared capacity or materials. Lost 3 sales units. Carried 21 backlog units.
1,Team 03,team_03_A,Vector X,A,premium,growth,2,3,engineered,184.0,90,90,90,0.005,89,137.74,137.74,89,32,0,0.6462,47.74,47.74,0.5304,0.3466,16376.0,4728.6,81.0,20.02,3492.4,160.0,388.8,95.53,6233.62,0,0,16,1,1.054,0.0,0.0,False,,False,0.0,Lost 32 sales units. Carried 16 backlog units.
1,Team 03,team_03_B,Axis Control,B,mid,launch,1,2,engineered,149.0,110,110,110,0.005,109,133.06,133.06,109,16,0,0.8191,23.06,23.06,0.2097,0.1733,16241.0,5557.2,99.0,24.53,4268.48,80.0,475.2,62.55,4508.15,0,0,8,0,1.0,0.0,0.0,False,,False,0.0,Lost 16 sales units. Carried 8 backlog units.
1,Team 03,team_03_C,Baseline Drive,C,beginner,maturity,5,1,entry,112.0,0,0,0,0.0,0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1,0.0,0,0,0,-1,0.972,0.0,0.0,False,,False,0.0,
1,Team 04,team_04_A,Starter Pop,A,beginner,growth,2,1,entry,93.45,144,141,141,0.0442,134,144.36,144.36,134,4,0,0.9282,0.36,0.36,0.0025,0.0025,12522.3,5154.96,58.34,266.83,3807.44,60.0,379.24,28.5,-710.02,0,0,6,-1,0.972,13.83,0.0,False,,False,0.0,Lost 4 sales units. Carried 6 backlog units.
