round_number,team_name,archetype,active_product_count,active_project_count,launch_ready_project_count,launched_project_count,retired_product_count,total_forecast_units,total_actual_demand_units,forecast_error_units,absolute_forecast_error_units,forecast_wape,service_gap_units,weighted_average_selling_price,planned_production_units,actual_production_units,effective_capacity_units,utilization_pct,weighted_material_unit_cost,defect_rate,good_units_produced,demand_allocated,sales_units,lost_sales_units,backlog_units_end,ending_inventory,ending_raw_material_inventory,fill_rate,revenue,procurement_cost,production_cost,holding_cost,warranty_cost,backlog_cost,expansion_cost,innovation_investment,interest_expense,working_capital_requirement,planned_borrowing_amount,automatic_borrowing_amount,ending_cash_balance,short_term_debt_balance,liquidity_stress_flag,total_cost,profit,contribution_margin_per_unit,reputation_after_round,average_portfolio_tech_generation,cannibalized_demand_units,beginning_finished_goods_inventory,beginning_raw_material_inventory,raw_material_units_received,raw_material_units_consumed,raw_material_order_qty,backlog_units_start,launch_events_text,notes
1,Team 01,Premium Quality,2,1,0,0,0,180,260.82,80.82,80.82,0.3099,77,187.87,184,184,270,68.15,42.61,0.005,182,260.82,182,63,14,0,76,0.6978,34192.8,7840.24,10069.28,152.0,40.95,140.0,936.0,3000.0,0.0,3238.36,0.0,0.0,37598.33,0.0,False,22178.47,12014.33,89.24,61.28,2.0,0.0,0,260,0,184,184,0,,Portfolio forecast WAPE was 30.99% against realized demand. Lost 63 sales units across the portfolio. Carried 14 backlog units into next round.
1,Team 02,Sponsorship Growth,3,1,0,0,0,415,401.22,-13.78,58.02,0.1446,94,123.1,384,320,358,89.39,31.38,0.0387,306,401.22,306,11,83,0,0,0.7627,37669.28,14936.88,15838.4,0.0,533.29,830.0,2088.0,1500.0,77.0,525.0,3500.0,0.0,34549.71,3500.0,False,35803.57,1865.71,20.79,57.15,2.0,0.0,0,320,0,320,476,0,,"Portfolio forecast WAPE was 14.46% against realized demand. Lost 11 sales units across the portfolio. Carried 83 backlog units into next round. Used $3,500.00 of planned borrowing."
1,Team 03,Engineering Challenger,2,1,0,0,0,200,270.8,70.8,70.8,0.2614,72,164.73,200,200,307,65.15,35.93,0.005,198,270.8,198,48,24,0,90,0.7312,32617.0,7760.88,10285.8,180.0,44.55,240.0,864.0,2500.0,22.0,3383.7,1000.0,0.0,38863.77,1000.0,False,21897.23,10719.77,73.36,54.71,2.0,0.0,0,290,0,200,216,0,,"Portfolio forecast WAPE was 26.14% against realized demand. Lost 48 sales units across the portfolio. Carried 24 backlog units into next round. Used $1,000.00 of planned borrowing."
1,Team 04,Low-Cost Volume,3,1,0,0,0,355,370.62,15.62,78.76,0.2125,62,105.34,348,348,441,78.91,28.39,0.0436,332,370.62,307,26,36,25,72,0.8283,32340.0,9397.09,12931.95,294.0,606.05,360.0,936.0,9000.0,154.0,4732.85,7000.0,0.0,34892.91,7000.0,False,33679.09,-1339.09,30.63,43.54,1.33,17.19,0,420,0,348,331,0,,"Portfolio forecast WAPE was 21.25% against realized demand. Lost 26 sales units across the portfolio. Carried 36 backlog units into next round. Used $7,000.00 of planned borrowing."
1,Team 05,Community / Club,3,1,0,0,0,207,405.64,198.64,198.64,0.4897,186,127.61,225,225,303,74.26,29.31,0.0206,219,405.64,219,174,12,0,75,0.5399,27945.96,5393.04,8778.81,150.0,202.67,120.0,0.0,750.0,0.0,2198.25,0.0,0.0,35591.44,0.0,False,15394.52,12551.44,61.97,47.8,1.67,19.19,0,300,0,225,184,0,,Portfolio forecast WAPE was 48.97% against realized demand. Lost 174 sales units across the portfolio. Carried 12 backlog units into next round.
1,Team 06,Premium Quality,2,1,0,0,0,278,270.88,-7.12,7.12,0.0263,36,167.06,236,236,299,78.93,37.22,0.0056,234,270.88,234,0,36,0,24,0.8639,39093.12,11426.54,13269.84,48.0,58.61,360.0,2232.0,4000.0,220.0,2393.28,10000.0,0.0,43062.13,10000.0,False,31614.99,7478.13,61.27,67.58,2.0,0.0,0,260,0,236,307,0,,"Portfolio forecast WAPE was 2.63% against realized demand. Carried 36 backlog units into next round. Used $10,000.00 of planned borrowing."
2,Team 01,Premium Quality,2,1,0,0,0,180,319.21,139.21,139.21,0.4361,151,187.87,184,184,283,65.02,43.67,0.005,182,319.21,182,137,14,0,76,0.5462,34192.8,8035.28,10285.43,152.0,40.95,140.0,936.0,3000.0,0.0,3318.92,0.0,0.0,49201.47,0.0,False,22589.66,11603.14,86.98,51.25,2.0,0.0,0,76,184,184,184,14,,Portfolio forecast WAPE was 43.61% against realized demand. Lost 137 sales units across the portfolio. Carried 14 backlog units into next round.
2,Team 02,Sponsorship Growth,3,1,0,0,0,415,414.46,-0.54,64.96,0.1567,496,0.0,384,0,387,0.0,32.17,0.1099,0,414.46,0,413,83,0,0,0.0,0.0,15312.92,0.0,0.0,0.0,830.0,2088.0,1500.0,154.0,1050.0,3500.0,0.0,18164.79,7000.0,True,19884.92,-19884.92,0.0,17.26,2.0,9.0,0,0,0,0,476,83,,"Portfolio forecast WAPE was 15.67% against realized demand. Lost 413 sales units across the portfolio. Carried 83 backlog units into next round. Used $3,500.00 of planned borrowing. Liquidity stress flagged this round."
2,Team 03,Engineering Challenger,2,1,0,0,0,200,333.28,133.28,133.28,0.3999,158,164.73,200,200,319,62.7,36.83,0.005,198,333.28,198,134,24,0,106,0.5542,32617.0,7955.28,10512.7,212.0,44.55,240.0,864.0,2500.0,44.0,4203.98,1000.0,0.0,50108.24,2000.0,False,22372.53,10244.47,71.23,45.29,2.0,0.0,0,90,216,200,216,24,,"Portfolio forecast WAPE was 39.99% against realized demand. Lost 134 sales units across the portfolio. Carried 24 backlog units into next round. Used $1,000.00 of planned borrowing."
2,Team 04,Low-Cost Volume,3,1,0,0,0,355,450.85,95.85,124.83,0.2769,161,105.21,348,348,454,76.65,29.1,0.0426,332,450.85,324,125,36,33,55,0.6655,34089.3,9632.1,13226.79,308.0,622.52,360.0,936.0,9000.0,308.0,5915.06,7000.0,0.0,41588.8,14000.0,True,34393.41,-304.11,32.74,32.74,1.33,20.33,25,72,331,348,331,36,,"Portfolio forecast WAPE was 27.69% against realized demand. Lost 125 sales units across the portfolio. Carried 36 backlog units into next round. Used $7,000.00 of planned borrowing. Liquidity stress flagged this round."
2,Team 05,Community / Club,3,1,0,0,0,207,463.5,256.5,256.5,0.5534,254,127.7,225,225,303,74.26,30.04,0.0187,220,463.5,220,242,12,0,34,0.4627,28094.88,5527.36,8979.84,68.0,185.55,120.0,0.0,750.0,0.0,1021.36,0.0,0.0,48055.57,0.0,False,15630.75,12464.13,60.92,33.22,1.67,38.59,0,75,184,225,184,12,,Portfolio forecast WAPE was 55.34% against realized demand. Lost 242 sales units across the portfolio. Carried 12 backlog units into next round.
2,Team 06,Premium Quality,2,1,0,0,0,278,335.71,57.71,57.71,0.1719,137,167.06,236,236,330,71.52,38.15,0.005,234,335.71,234,87,50,0,95,0.6295,39093.12,11712.05,13567.2,190.0,52.66,500.0,2232.0,4000.0,440.0,6624.25,10000.0,0.0,59461.34,20000.0,True,32693.91,6399.21,58.81,60.65,2.0,0.0,0,24,307,236,307,36,,"Portfolio forecast WAPE was 17.19% against realized demand. Lost 87 sales units across the portfolio. Carried 50 backlog units into next round. Used $10,000.00 of planned borrowing. Liquidity stress flagged this round."
