round_number,team_name,product_id,product_name,slot_name,target_segment,lifecycle_stage,age_in_rounds,tech_generation,cannibalization_group,selling_price_per_unit,forecast_units,planned_production_units,actual_production_units,defect_rate,good_units_produced,demand_allocated,actual_demand_units,sales_units,lost_sales_units,ending_inventory,fill_rate,forecast_error_units,absolute_error_units,forecast_bias_pct,mape_or_wape_value,revenue,production_cost,holding_cost,warranty_cost,allocated_procurement_cost,allocated_backlog_cost,allocated_expansion_cost,contribution_margin_per_unit,profit_contribution,beginning_inventory,backlog_units_start,backlog_units_end,tech_gap_to_market,tech_attractiveness_adjustment,cannibalization_in_units,cannibalization_out_units,launched_this_round,launch_event,retired_this_round,retirement_liquidation_revenue,notes
1,Team 01,team_01_A,Elite Spin Pro,A,premium,launch,1,3,tour,209.52,85,87,87,0.005,86,80.47,80.47,80,0,6,0.9941,-4.53,4.53,-0.0533,0.0563,16761.6,4081.17,107.87,18.0,3707.07,0.0,442.57,120.0,6929.55,0,0,0,1,1.062,0.0,0.0,False,,False,0.0,
1,Team 01,team_01_B,Control Tour,B,mid,growth,2,2,tour,168.48,95,97,97,0.005,96,83.16,83.16,83,0,13,0.9981,-11.84,11.84,-0.1246,0.1424,13983.84,4532.81,158.13,18.68,4133.17,0.0,493.43,79.14,3122.99,0,0,0,0,1.0,0.0,0.0,False,,False,0.0,
1,Team 01,team_01_C,Club Prestige,C,mid,maturity,4,1,club,149.04,0,0,0,0.0,0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.94,0.0,0,0,0,-1,0.913,0.0,0.0,False,,False,0.0,
1,Team 02,team_02_A,Momentum Edge,A,mid,launch,1,2,power,128.48,158,146,122,0.0378,117,81.19,81.19,81,0,36,0.9977,-76.81,76.81,-0.4862,0.9462,10406.88,5655.92,216.0,137.8,5694.69,0.0,796.05,50.74,-2597.64,0,0,0,0,1.0,0.0,0.0,False,,False,0.0,Production capped from 146 to 122 by shared capacity or materials.
1,Team 02,team_02_B,Rise Power,B,premium,growth,2,3,power,156.64,112,104,86,0.0374,82,83.51,83.51,82,0,0,0.9819,-28.49,28.49,-0.2544,0.3411,12844.48,4150.36,0.0,138.19,4014.29,10.0,561.15,77.0,3451.99,0,0,1,1,1.062,0.0,0.0,False,,False,0.0,Production capped from 104 to 86 by shared capacity or materials. Carried 1 backlog units.
1,Team 02,team_02_C,Court Wave,C,beginner,growth,3,1,entry,91.52,145,134,112,0.0407,107,76.9,76.9,76,0,31,0.9883,-68.1,68.1,-0.4697,0.8856,6955.52,5237.12,186.0,139.26,5227.91,0.0,730.8,13.38,-5043.01,0,0,0,-1,0.966,0.0,0.0,False,,False,0.0,Production capped from 134 to 112 by shared capacity or materials.
1,Team 03,team_03_A,Vector X,A,premium,growth,2,3,engineered,184.0,90,90,90,0.005,89,87.51,87.51,87,0,2,0.9942,-2.49,2.49,-0.0277,0.0285,16008.0,4116.6,93.0,19.57,3492.4,0.0,388.8,102.33,6600.22,0,0,0,1,1.062,0.0,0.0,False,,False,0.0,
1,Team 03,team_03_B,Axis Control,B,mid,launch,1,2,engineered,149.0,110,110,110,0.005,109,81.11,81.11,81,0,28,0.9986,-28.89,28.89,-0.2626,0.3561,12069.0,4974.2,267.0,18.23,4268.48,0.0,475.2,67.85,863.3,0,0,0,0,1.0,0.0,0.0,False,,False,0.0,
1,Team 03,team_03_C,Baseline Drive,C,beginner,maturity,5,1,entry,112.0,0,0,0,0.0,0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1,0.0,0,0,0,-1,0.966,0.0,0.0,False,,False,0.0,
1,Team 04,team_04_A,Starter Pop,A,beginner,growth,2,1,entry,93.45,144,141,141,0.0442,134,83.26,83.26,83,0,51,0.9969,-60.74,60.74,-0.4218,0.7296,7756.35,4731.96,364.34,165.27,3807.44,0.0,379.24,31.5,-5161.29,0,0,0,-1,0.966,8.0,0.0,False,,False,0.0,
1,Team 04,team_04_B,Club Value,B,beginner,maturity,4,1,entry,102.9,125,123,123,0.0403,118,54.09,54.09,54,0,64,0.9984,-70.91,70.91,-0.5673,1.311,5556.6,4158.63,434.9,98.05,3321.39,0.0,330.83,40.7,-5041.11,0,0,0,-1,0.966,0.0,9.95,False,,False,0.0,
1,Team 04,team_04_C,Flex Edge,C,mid,launch,1,2,hybrid,128.1,86,84,84,0.0473,80,78.63,78.63,78,0,2,0.9919,-7.37,7.37,-0.0857,0.0937,9991.8,2913.96,46.76,166.1,2268.26,0.0,225.93,65.02,1094.09,0,0,0,0,1.0,1.94,0.0,False,,False,0.0,
1,Team 05,team_05_A,Club Control,A,mid,growth,3,2,club,134.64,83,90,90,0.0196,88,97.68,97.68,88,6,0,0.9009,14.68,14.68,0.1769,0.1503,11848.32,3204.9,60.0,77.63,2157.22,30.0,0.0,69.72,6014.57,0,0,3,0,1.0,5.84,0.0,False,,False,0.0,Lost 6 sales units. Carried 3 backlog units.
1,Team 05,team_05_B,Court Starter,B,beginner,maturity,4,1,club,104.04,72,78,78,0.0223,76,57.18,57.18,57,0,19,0.9969,-14.82,14.82,-0.2059,0.2592,5930.28,2782.26,166.0,57.25,1869.59,0.0,0.0,39.06,877.23,0,0,0,-1,0.966,0.0,11.18,False,,False,0.0,
1,Team 05,team_05_C,Club Spin,C,mid,launch,1,2,club,148.92,52,57,57,0.0197,55,86.13,86.13,55,22,0,0.6386,34.13,34.13,0.6563,0.3963,8190.6,2043.45,38.0,48.71,1366.24,90.0,0.0,83.76,4336.15,0,0,9,0,1.0,5.34,0.0,False,,False,0.0,Lost 22 sales units. Carried 9 backlog units.
1,Team 06,team_06_A,Elite Spin Pro,A,premium,launch,1,3,tour,186.24,132,112,112,0.0062,111,81.8,81.8,81,0,30,0.9902,-50.2,50.2,-0.3803,0.6137,15085.44,5667.2,202.78,22.57,5422.76,0.0,1059.25,98.42,776.84,0,0,0,1,1.062,0.0,0.0,False,,False,0.0,
1,Team 06,team_06_B,Control Tour,B,mid,growth,2,2,tour,149.76,146,124,124,0.005,123,87.38,87.38,87,0,36,0.9956,-58.62,58.62,-0.4015,0.6708,13029.12,6207.44,241.22,19.57,6003.78,0.0,1172.75,62.48,-2681.6,0,0,0,0,1.0,0.0,0.0,False,,False,0.0,
1,Team 06,team_06_C,Club Prestige,C,mid,maturity,4,1,club,132.48,0,0,0,0.0,0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.38,0.0,0,0,0,-1,0.913,0.0,0.0,False,,False,0.0,
2,Team 01,team_01_A,Elite Spin Pro,A,premium,growth,2,3,tour,209.52,85,87,87,0.005,86,92.96,92.96,92,0,0,0.9897,7.96,7.96,0.0936,0.0856,19275.84,4183.83,71.87,20.7,3799.29,0.0,442.57,117.76,9226.9,6,0,0,1,1.062,0.0,0.0,False,,False,0.0,
