experiment_mode,scenario_id,scenario_name,team_name,strategy_archetype,operating_archetype,final_profit,final_revenue,final_cost,final_cash,final_debt,cash_minus_debt,ending_inventory,ending_backlog,service_level,forecast_accuracy,forecast_wape,balanced_score,profit_rank,balanced_rank,service_rank,forecast_rank,cash_rank,innovation_rank,innovation_score,liquidity_stress,reputation_after_round
calibrated,1,Baseline,Team 02,Balanced S&OP,Engineering Challenger,86731.31,371351.0,284619.69,125875.31,12000.0,113875.31,0,27,0.6781,0.6786,0.3214,84.0,1,1,3,1,1,4,166.0,TRUE,0.71
calibrated,1,Baseline,Team 01,Cash conservative,Community / Club,86331.73,265140.84,178809.11,109371.73,0.0,109371.73,0,11,0.5521,0.6096,0.3904,64.0,2,2,5,3,2,6,88.0,FALSE,0.0
calibrated,1,Baseline,Team 03,Premium quality,Premium Quality,54747.55,232565.47,177817.92,80331.55,0.0,80331.55,0,3,0.6022,0.5789,0.4211,52.0,3,3,4,4,3,3,179.0,FALSE,0.0
calibrated,1,Baseline,Team 04,Innovation leap,Engineering Challenger,19713.26,229832.4,210119.14,130857.26,84000.0,46857.26,0,4,0.4904,0.4895,0.5105,20.0,4,5,6,5,4,1,236.5,TRUE,0.0
calibrated,1,Baseline,Team 05,Aggressive growth,Sponsorship Growth,-61433.72,507159.55,568593.27,87750.28,120000.0,-32249.72,111,75,0.8363,0.6748,0.3252,36.0,5,4,2,2,5,2,197.5,TRUE,11.3
calibrated,1,Baseline,Team 06,Low-cost volume,Low-Cost Volume,-246208.07,283227.12,529435.19,0.0,216976.07,-216976.07,1299,98,0.9087,0.1336,0.8664,12.0,6,6,1,6,6,5,108.5,TRUE,0.0
calibrated,2,Picky Customers,Team 03,Premium quality,Premium Quality,99027.43,253537.37,154509.94,124611.43,0.0,124611.43,0,0,0.906,0.8313,0.1687,96.0,1,1,1,1,2,5,106.0,FALSE,100.0
calibrated,2,Picky Customers,Team 02,Balanced S&OP,Engineering Challenger,98252.58,384198.0,285945.42,137396.58,12000.0,125396.58,0,27,0.6307,0.6139,0.3861,64.0,2,2,4,3,1,3,166.0,TRUE,0.0
calibrated,2,Picky Customers,Team 01,Cash conservative,Community / Club,84281.86,236111.64,151829.78,107321.86,0.0,107321.86,0,8,0.4722,0.4061,0.5939,44.0,3,3,5,5,3,6,88.0,FALSE,0.0
calibrated,2,Picky Customers,Team 04,Innovation leap,Engineering Challenger,21764.27,229832.4,208068.13,132908.27,84000.0,48908.27,0,4,0.4474,0.449,0.551,24.0,4,5,6,4,4,1,236.5,TRUE,0.0
calibrated,2,Picky Customers,Team 05,Aggressive growth,Sponsorship Growth,-41497.62,529334.4,570832.02,107686.38,120000.0,-12313.62,71,75,0.8021,0.6715,0.3285,32.0,5,4,3,2,5,2,197.5,TRUE,7.68
calibrated,2,Picky Customers,Team 06,Low-cost volume,Low-Cost Volume,-277341.64,273841.13,551182.77,0.0,248109.64,-248109.64,1605,98,0.8986,0.0365,0.9635,8.0,6,6,2,6,6,4,108.5,TRUE,0.0
calibrated,3,Price Sensitive,Team 02,Balanced S&OP,Engineering Challenger,127945.7,384198.0,256252.3,167089.7,12000.0,155089.7,0,27,0.5246,0.5295,0.4705,76.0,1,1,3,3,1,4,166.0,TRUE,0.0
calibrated,3,Price Sensitive,Team 01,Cash conservative,Community / Club,92930.62,217425.24,124494.62,115970.62,0.0,115970.62,0,6,0.2925,0.2267,0.7733,48.0,2,4,6,6,2,5,88.0,FALSE,0.0
calibrated,3,Price Sensitive,Team 03,Premium quality,Premium Quality,77764.27,236457.36,158693.09,103348.27,0.0,103348.27,0,3,0.4735,0.4687,0.5313,52.0,3,3,4,4,3,3,179.0,FALSE,0.0
calibrated,3,Price Sensitive,Team 06,Low-cost volume,Low-Cost Volume,69134.87,398255.44,329120.57,98366.87,0.0,98366.87,0,82,0.7441,0.6887,0.3113,60.0,4,2,1,2,4,6,69.5,FALSE,0.0
calibrated,3,Price Sensitive,Team 05,Aggressive growth,Sponsorship Growth,46636.32,551834.5,505198.18,195820.32,120000.0,75820.32,0,75,0.6559,0.7087,0.2913,40.0,5,5,2,1,5,2,197.5,TRUE,0.0
calibrated,3,Price Sensitive,Team 04,Innovation leap,Engineering Challenger,39184.4,229832.4,190648.0,150328.4,84000.0,66328.4,0,4,0.3607,0.3742,0.6258,0.0,6,6,5,5,6,1,236.5,TRUE,0.0
calibrated,4,Tech Shift,Team 04,Innovation leap,Engineering Challenger,125825.96,291008.16,165182.2,152969.96,0.0,152969.96,0,0,0.7806,0.768,0.232,96.0,1,1,2,1,1,4,109.0,FALSE,65.35
calibrated,4,Tech Shift,Team 02,Balanced S&OP,Engineering Challenger,95638.79,374342.0,278703.21,134782.79,12000.0,122782.79,0,22,0.4916,0.4924,0.5076,48.0,2,2,5,5,2,3,115.0,TRUE,0.0
calibrated,4,Tech Shift,Team 01,Cash conservative,Community / Club,66645.17,187243.44,120598.27,89685.17,0.0,89685.17,0,5,0.237,0.1615,0.8385,36.0,3,4,6,6,3,5,88.0,FALSE,0.0
calibrated,4,Tech Shift,Team 03,Premium quality,Premium Quality,54682.63,220361.04,165678.41,80266.63,0.0,80266.63,0,0,0.5092,0.5035,0.4965,40.0,4,3,4,4,4,2,182.5,FALSE,3.42
calibrated,4,Tech Shift,Team 05,Aggressive growth,Sponsorship Growth,-15988.82,550212.1,566200.92,133195.18,120000.0,13195.18,0,75,0.5544,0.5755,0.4245,28.0,5,5,3,3,5,1,198.0,TRUE,0.0
calibrated,4,Tech Shift,Team 06,Low-cost volume,Low-Cost Volume,-138644.36,373607.52,512251.88,0.0,109412.36,-109412.36,400,96,0.8809,0.5857,0.4143,28.0,6,6,1,2,6,6,75.5,TRUE,0.0
calibrated,5,Beginner Boom,Team 02,Balanced S&OP,Engineering Challenger,131949.93,384198.0,252248.07,171093.93,12000.0,159093.93,0,27,0.2808,0.2839,0.7161,84.0,1,1,3,3,1,4,166.0,FALSE,0.0
